rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
17,49,Matthew Golden,GB,NYJ,0,10.171,7.02,4.286,9.602,19.742,0.219,"24.5-point implied total against the worst pass defense in the league by EPA last year. They rank 5th of 32 against the pass in week 1. Projected 7.6 targets, a 21% target share, 69% of the snaps. Last week he had 12 targets, a 30% target share and 82% of the snaps. Range 4-20 around a median of 10, 22% shot at a top-12 week.",
18,1,Ja'Marr Chase,CIN,HOU,0,10.081,14.151,4.632,8.924,19.943,0.216,"22.0-point implied total against the best pass defense in the league by EPA last year. They rank 27th of 32 against the pass in week 1. Projected 7.8 targets, a 20% target share, 0.8 red-zone look, 84% of the snaps. Last week he had 4 targets, a 12% target share and 94% of the snaps. Range 5-20 around a median of 9, 22% shot at a top-12 week.",
19,12,Garrett Wilson,NYJ,GB,1,9.78,10.573,4.397,8.953,18.421,0.19,"20.0-point implied total against 11th-worst pass defense by EPA last year. They rank 6th of 32 against the pass in week 1. Projected 7.7 targets, a 22% target share, 80% of the snaps. Last week he had 7 targets, a 30% target share and 75% of the snaps. Range 4-18 around a median of 9, 19% shot at a top-12 week.",
20,30,DK Metcalf,PIT,NE,0,9.649,9.038,4.594,8.889,18.282,0.186,"4th-lowest implied total (18.0) against the 11th-best pass defense by EPA last year. They rank 13th of 32 against the pass in week 1. Projected 8.3 targets, a 23% target share, 83% of the snaps. Last week he had 10 targets, a 27% target share and 96% of the snaps. Range 5-18 around a median of 9, 19% shot at a top-12 week. New HC.",
21,46,Khalil Shakir,BUF,DET,1,9.611,7.345,3.573,8.718,20.208,0.2,"Highest implied total (29.0) against a mid-pack pass defense last year. They rank 9th of 32 against the pass in week 1. Projected 6.0 targets, a 20% target share, 0.8 red-zone look, 58% of the snaps. Last week he had 6 targets, a 21% target share and 53% of the snaps. Range 4-20 around a median of 9, 20% shot at a top-12 week.",
22,44,Stefon Diggs,WAS,DAL,0,9.514,7.57,4.131,8.692,19.607,0.179,"23.5-point implied total against 2nd-worst pass defense by EPA last year. They rank 29th of 32 against the pass in week 1. Projected 7.5 targets, a 26% target share, 59% of the snaps. Last week he had 9 targets, a 31% target share and 63% of the snaps. Range 4-20 around a median of 9, 18% shot at a top-12 week. New team.",
23,19,Davante Adams,LA,NYG,1,9.49,9.78,3.919,9.195,18.777,0.168,"3rd-highest implied total (27.8) against a mid-pack pass defense last year. They rank 15th of 32 against the pass in week 1. Projected 7.1 targets, a 20% target share, 1.1 red-zone look, 62% of the snaps. Last week he had 6 targets, a 22% target share and 54% of the snaps. Range 4-19 around a median of 9, 17% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
24,67,Caleb Douglas,MIA,SF,0,9.351,5.763,4.604,8.96,16.189,0.126,"3rd-lowest implied total (16.5) against 8th-worst pass defense by EPA last year. They rank 12th of 32 against the pass in week 1. Projected 7.0 targets, a 26% target share, 91% of the snaps. Usage in week 1 is actually fairly predictive. With only one game on the books, Douglas's projection leans on his exact usage last week. This will change as he gets more games under his belt. Range 5-16 around a median of 9, 13% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New HC.",
25,35,Wan'Dale Robinson,TEN,PHI,1,9.32,8.624,4.089,8.499,17.853,0.196,"2nd-lowest implied total (16.2) against the 7th-best pass defense by EPA last year. They rank 8th of 32 against the pass in week 1. Projected 7.4 targets, a 24% target share, 78% of the snaps. Last week he had 6 targets, a 21% target share and 82% of the snaps. Range 4-18 around a median of 8, 20% shot at a top-12 week. New HC. New team.",
26,53,Deebo Samuel Sr.,SF,MIA,1,9.243,6.873,2.743,8.588,20.677,0.193,"Highest implied total (29.0) against 6th-worst pass defense by EPA last year. They rank 30th of 32 against the pass in week 1. Projected 6.6 targets, a 21% target share, 1.0 red-zone look, 52% of the snaps. Last week he had 7 targets, a 21% target share and 42% of the snaps. Range 3-21 around a median of 9, 19% shot at a top-12 week. New team.",
