rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
19,12,Jake Ferguson,DAL,WAS,1,6.004,6.7,1.956,5.088,13.344,0.249,"5th-highest implied total (27.0) against 3rd-worst pass defense by EPA last year. Projected 4.0 targets, an 11% target share, 0.9 red-zone look, 68% of the snaps. Last week he had 2 targets, a 7% target share and 76% of the snaps. Range 2-13 around a median of 5, 25% shot at a top-12 week.",
20,2,Colston Loveland,CHI,MIN,1,5.986,9.065,1.914,5.454,13.216,0.236,"5th-highest implied total (27.0) against a top-2 pass defense by EPA last year. Projected 3.6 targets, an 11% target share, 0.8 red-zone look, 74% of the snaps. Last week he had 2 targets, a 8% target share and 87% of the snaps. Range 2-13 around a median of 5, 24% shot at a top-12 week.",
21,30,Mike Gesicki,CIN,HOU,0,5.808,5.222,1.135,4.953,14.426,0.225,"22.0-point implied total against the best pass defense in the league by EPA last year. Projected 5.2 targets, a 15% target share, 37% of the snaps. Last week he had 7 targets, a 21% target share and 33% of the snaps. Range 1-14 around a median of 5, 22% shot at a top-12 week.",
22,31,Mason Taylor,NYJ,GB,1,5.8,5.101,2.228,5.234,12.37,0.209,"20.0-point implied total against 11th-worst pass defense by EPA last year. Projected 4.0 targets, a 13% target share, 73% of the snaps. Last week he had 3 targets, a 13% target share and 66% of the snaps. Range 2-12 around a median of 5, 21% shot at a top-12 week.",
23,19,Hunter Henry,NE,PIT,1,5.754,6.004,2.1,5.173,12.103,0.208,"23.5-point implied total against a mid-pack pass defense last year. Projected 4.1 targets, a 13% target share, 1.0 red-zone look, 77% of the snaps. Last week he had 3 targets, a 10% target share and 76% of the snaps. Range 2-12 around a median of 5, 21% shot at a top-12 week.",
24,28,Kenyon Sadiq,NYJ,GB,1,5.641,5.345,2.267,4.539,12.724,0.213,"20.0-point implied total against 11th-worst pass defense by EPA last year. Projected 3.0 targets, a 13% target share, 42% of the snaps. That is last week exactly: he has no prior season to weigh it against, so the week he has played is the whole forecast. Range 2-13 around a median of 5, 21% shot at a top-12 week.",
25,18,Brenton Strange,JAX,DEN,0,5.635,6.261,1.717,5.019,12.616,0.208,"20.5-point implied total against a top-5 pass defense by EPA last year. Projected 4.0 targets, a 13% target share, 71% of the snaps. Last week he had 3 targets, a 14% target share and 68% of the snaps. Range 2-13 around a median of 5, 21% shot at a top-12 week.",
26,4,Kyle Pitts,ATL,CAR,1,5.568,8.228,1.717,4.745,12.379,0.221,"20.5-point implied total against 9th-worst pass defense by EPA last year. Projected 4.0 targets, a 12% target share, 75% of the snaps. Last week he had 1 target, a 5% target share and 63% of the snaps. Range 2-12 around a median of 5, 22% shot at a top-12 week.",
27,25,Gunnar Helm,TEN,PHI,1,5.408,5.635,1.819,4.848,12.32,0.169,"2nd-lowest implied total (16.2) against the 7th-best pass defense by EPA last year. Projected 4.2 targets, a 15% target share, 65% of the snaps. Last week he had 5 targets, a 18% target share and 76% of the snaps. Range 2-12 around a median of 5, 17% shot at a top-12 week. New HC.",
28,21,AJ Barner,SEA,ARI,0,5.345,5.808,1.357,4.56,11.739,0.216,"23.0-point implied total against 7th-worst pass defense by EPA last year. Projected 3.0 targets, an 11% target share, 0.6 red-zone look, 80% of the snaps. Last week he had 2 targets, a 8% target share and 88% of the snaps. Range 1-12 around a median of 5, 22% shot at a top-12 week.",
29,36,Tommy Tremble,CAR,ATL,0,5.265,4.205,1.751,3.904,12.215,0.2,"23.0-point implied total against a mid-pack pass defense last year. Projected 3.7 targets, a 13% target share, 58% of the snaps. Last week he had 5 targets, a 15% target share and 56% of the snaps. Range 2-12 around a median of 4, 20% shot at a top-12 week.",
30,23,Chig Okonkwo,WAS,DAL,0,5.222,5.754,1.503,4.099,12.241,0.192,"23.5-point implied total against 2nd-worst pass defense by EPA last year. Projected 3.8 targets, a 12% target share, 58% of the snaps. Last week he had 3 targets, a 10% target share and 56% of the snaps. Range 2-12 around a median of 4, 19% shot at a top-12 week. New team.",
31,32,Cole Kmet,CHI,MIN,1,5.101,5.052,1.982,3.424,12.982,0.212,"5th-highest implied total (27.0) against a top-2 pass defense by EPA last year. Projected 3.0 targets, an 11% target share, 64% of the snaps. That is last week exactly: he has no prior season to weigh it against, so the week he has played is the whole forecast. Range 2-13 around a median of 3, 21% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
32,34,Noah Fant,NO,BAL,0,5.052,4.848,1.867,3.731,12.248,0.183,"19.0-point implied total against 12th-worst pass defense by EPA last year. Projected 5.6 targets, a 13% target share, 41% of the snaps. Last week he had 8 targets, a 15% target share and 41% of the snaps. Range 2-12 around a median of 4, 18% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks. New team.",
33,24,Pat Freiermuth,PIT,NE,0,5.013,5.641,1.817,4.056,11.415,0.15,"4th-lowest implied total (18.0) against the 11th-best pass defense by EPA last year. Projected 4.3 targets, a 12% target share, 62% of the snaps. Last week he had 5 targets, a 14% target share and 73% of the snaps. Range 2-11 around a median of 4, 15% shot at a top-12 week. New HC.",
34,27,Colby Parkinson,LA,NYG,1,4.848,5.408,1.404,4.13,11.046,0.165,"3rd-highest implied total (27.8) against a mid-pack pass defense last year. Projected 3.0 targets, a 9% target share, 0.7 red-zone look, 69% of the snaps. Last week he had 2 targets, a 7% target share and 77% of the snaps. Range 1-11 around a median of 4, 16% shot at a top-12 week.",
35,35,Josh Oliver,MIN,CHI,0,4.534,4.534,1.381,3.451,11.487,0.155,"21.5-point implied total against a mid-pack pass defense last year. Projected 2.8 targets, a 14% target share, 57% of the snaps. Last week he had 4 targets, a 17% target share and 65% of the snaps. Range 1-11 around a median of 3, 16% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
36,33,Dawson Knox,BUF,DET,1,4.205,5.013,1.478,3.569,9.964,0.117,"Highest implied total (29.0) against a mid-pack pass defense last year. Projected 2.0 targets, an 8% target share, 0.7 red-zone look, 63% of the snaps. Last week he had 1 target, a 4% target share and 67% of the snaps. Range 1-10 around a median of 4, 12% shot at a top-12 week.",
