rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
34,29,Mike Evans,SF,MIA,1,10.831,10.965,4.96,10.16,20.054,0.16,"Highest implied total (28.5) against 6th-worst pass defense by EPA last year. 4.3 targets, a 13% target share, 65% of the snaps. Range 5-20 around a median of 10, 16% shot at a top-12 week. New team.",
35,25,Christian Watson,GB,NYJ,0,10.815,11.574,4.972,10.197,21.317,0.165,"24.0-point implied total against the worst pass defense in the league by EPA last year. 4.4 targets, a 13% target share, 64% of the snaps. Range 5-21 around a median of 10, 16% shot at a top-12 week.",
36,47,KC Concepcion,CLE,TB,0,10.554,8.868,4.657,9.27,21.504,0.141,"4th-lowest implied total (18.0) against a mid-pack pass defense last year. No NFL usage to price yet, so he is ranked off draft capital and a WR2 slot. Range 5-22 around a median of 9, 14% shot at a top-12 week. New HC.",
37,40,Michael Wilson,ARI,SEA,1,10.533,9.999,5.143,9.63,20.203,0.139,"2nd-lowest implied total (17.2) against the 6th-best pass defense by EPA last year. 7.9 targets, a 20% target share, 81% of the snaps. Range 5-20 around a median of 10, 14% shot at a top-12 week.",
38,36,Courtland Sutton,DEN,JAX,1,10.304,10.554,4.736,9.618,20.459,0.138,"23.2-point implied total against a top-3 pass defense by EPA last year. 7.4 targets, a 20% target share, 0.7 red-zone look, 84% of the snaps. Range 5-20 around a median of 10, 14% shot at a top-12 week.",
39,15,Tee Higgins,CIN,HOU,0,10.128,12.558,4.234,9.44,20.071,0.126,"22.0-point implied total against the best pass defense in the league by EPA last year. 6.0 targets, a 16% target share, 80% of the snaps. Range 4-20 around a median of 9, 13% shot at a top-12 week.",
40,52,Alec Pierce,IND,KC,0,9.999,8.573,4.318,8.94,20.028,0.129,"20.5-point implied total against a mid-pack pass defense last year. 5.9 targets, a 16% target share, 85% of the snaps. Range 4-20 around a median of 9, 13% shot at a top-12 week.",
41,62,Keenan Allen,IND,KC,0,9.997,7.716,3.878,9.286,20.855,0.14,"20.5-point implied total against a mid-pack pass defense last year. 8.0 targets, a 21% target share, 56% of the snaps. Range 4-21 around a median of 9, 14% shot at a top-12 week. New team.",
42,80,Kalif Raymond,CHI,MIN,1,9.732,6.431,4.141,8.867,20.162,0.136,"24.5-point implied total against a top-2 pass defense by EPA last year. 3.7 targets, a 10% target share, 56% of the snaps. Range 4-20 around a median of 9, 14% shot at a top-12 week. New team.",
43,17,Rashee Rice,KC,IND,1,9.413,12.494,3.868,7.704,20.053,0.125,"6th-highest implied total (27.0) against a mid-pack pass defense last year. 5.2 targets, a 15% target share, 0.8 red-zone look, 69% of the snaps. Range 4-20 around a median of 8, 12% shot at a top-12 week.",
44,12,A.J. Brown,NE,PIT,1,9.371,12.919,4.441,7.868,19.07,0.096,"24.0-point implied total against a mid-pack pass defense last year. 8.5 targets, a 24% target share, 0.7 red-zone look, 90% of the snaps. Range 4-19 around a median of 8, 10% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks. New team.",
45,24,Luther Burden III,CHI,MIN,1,9.277,11.677,3.241,8.076,20.519,0.126,"24.5-point implied total against a top-2 pass defense by EPA last year. 4.5 targets, a 13% target share, 63% of the snaps. Range 3-21 around a median of 8, 13% shot at a top-12 week.",
46,63,Devaughn Vele,NO,BAL,0,8.939,7.662,3.702,7.334,19.409,0.12,"19.5-point implied total against 12th-worst pass defense by EPA last year. 4.0 targets, an 11% target share, 52% of the snaps. Range 4-19 around a median of 7, 12% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
47,60,Jerry Jeudy,CLE,TB,0,8.868,8.11,3.58,7.5,19.682,0.118,"4th-lowest implied total (18.0) against a mid-pack pass defense last year. 6.9 targets, a 19% target share, 66% of the snaps. Range 4-20 around a median of 8, 12% shot at a top-12 week. New HC.",
48,31,Rome Odunze,CHI,MIN,1,8.864,10.859,3.709,7.726,18.924,0.098,"24.5-point implied total against a top-2 pass defense by EPA last year. 5.8 targets, a 17% target share, 0.6 red-zone look, 87% of the snaps. Range 4-19 around a median of 8, 10% shot at a top-12 week.",
49,49,Tre Tucker,LV,LAC,0,8.849,8.849,3.423,7.714,18.323,0.089,"1st-lowest implied total (17.0) against the 9th-best pass defense by EPA last year. 6.5 targets, an 18% target share, 84% of the snaps. Range 3-18 around a median of 8, 9% shot at a top-12 week. New HC.",
50,66,Tre Harris,LAC,LV,1,8.75,7.258,2.767,7.736,19.492,0.116,"25.5-point implied total against 10th-worst pass defense by EPA last year. 4.0 targets, an 11% target share, 59% of the snaps. Range 3-19 around a median of 8, 12% shot at a top-12 week.",
51,27,Terry McLaurin,WAS,DAL,0,8.679,11.005,3.422,7.48,18.839,0.099,"23.5-point implied total against 2nd-worst pass defense by EPA last year. 5.1 targets, a 14% target share, 70% of the snaps. Range 3-19 around a median of 7, 10% shot at a top-12 week.",
52,56,Makai Lemon,PHI,TEN,0,8.573,8.305,3.353,7.969,17.957,0.073,"23.5-point implied total against 4th-worst pass defense by EPA last year. No NFL usage to price yet, so he is ranked off draft capital and a WR3 slot. Range 3-18 around a median of 8, 7% shot at a top-12 week.",
53,35,Josh Downs,IND,KC,0,8.516,10.815,3.131,7.119,19.212,0.099,"20.5-point implied total against a mid-pack pass defense last year. 6.2 targets, a 16% target share, 62% of the snaps. Range 3-19 around a median of 7, 10% shot at a top-12 week.",
54,42,Jayden Reed,GB,NYJ,0,8.416,9.732,3.775,7.133,17.585,0.064,"24.0-point implied total against the worst pass defense in the league by EPA last year. 3.6 targets, an 11% target share, 55% of the snaps. Range 4-18 around a median of 7, 6% shot at a top-12 week.",
