rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
18,2,Joe Burrow,CIN,HOU,0,17.913,23.028,9.148,16.95,33.043,0.343,"22.0-point implied total against the best pass defense in the league by EPA last year. They rank 27th of 32 against the pass in week 1. Projected 34 attempts for 236 yards, 3.4 carries of his own. Last week he had 35 attempts, 5 carries and 100% of the snaps. Range 9-33 around a median of 17, 34% shot at a top-12 week.",
19,23,Bryce Young,CAR,ATL,0,17.69,16.325,10.462,17.829,30.523,0.32,"23.0-point implied total against a mid-pack pass defense last year. They rank 7th of 32 against the pass in week 1. Projected 33 attempts for 217 yards, 2.7 carries of his own. Last week he had 37 attempts, 2 carries and 90% of the snaps. Range 10-31 around a median of 18, 32% shot at a top-12 week.",
20,25,Aaron Rodgers,PIT,NE,0,16.503,15.608,8.507,16.254,29.869,0.276,"4th-lowest implied total (18.0) against the 11th-best pass defense by EPA last year. They rank 13th of 32 against the pass in week 1. Projected 36 attempts for 241 yards, 2.2 carries of his own. Last week he had 40 attempts, 3 carries and 100% of the snaps. Range 9-30 around a median of 16, 28% shot at a top-12 week. New HC.",
21,18,Tyler Shough,NO,BAL,0,16.495,17.913,7.566,16.0,29.883,0.332,"19.0-point implied total against 12th-worst pass defense by EPA last year. They rank 4th of 32 against the pass in week 1. Projected 43 attempts for 308 yards, plus 4.0 carries of his own. Last week he had 56 attempts, 4 carries and 100% of the snaps. Range 8-30 around a median of 16, 33% shot at a top-12 week.",
22,28,Geno Smith,NYJ,GB,1,16.401,14.507,8.333,16.047,27.269,0.332,"20.0-point implied total against 11th-worst pass defense by EPA last year. They rank 6th of 32 against the pass in week 1. Projected 27 attempts for 184 yards, plus 4.4 carries of his own. Last week he had 24 attempts, 6 carries and 100% of the snaps. Range 8-27 around a median of 16, 33% shot at a top-12 week. New team.",
23,22,Daniel Jones,IND,KC,0,16.325,16.401,8.327,16.779,27.301,0.303,"20.5-point implied total against a mid-pack pass defense last year. They rank 11th of 32 against the pass in week 1. Projected 30 attempts for 234 yards, 2.2 carries of his own. Last week he had 31 attempts, 1 carry and 100% of the snaps. Range 8-27 around a median of 17, 30% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
24,26,Jacoby Brissett,ARI,SEA,1,15.851,14.97,6.681,15.473,30.592,0.277,"18.5-point implied total against the 6th-best pass defense by EPA last year. They rank 14th of 32 against the pass in week 1. Projected 36 attempts for 249 yards, plus 4.4 carries of his own. Last week he had 37 attempts, 6 carries and 100% of the snaps. Range 7-31 around a median of 15, 28% shot at a top-12 week.",
25,8,Trevor Lawrence,JAX,DEN,0,15.608,20.079,7.971,15.865,26.95,0.244,"20.5-point implied total against a top-5 pass defense by EPA last year. They rank 10th of 32 against the pass in week 1. Projected 28 attempts for 199 yards, 3.4 carries of his own, 0.3 goal-line rushes. Last week he had 23 attempts, 2 carries and 88% of the snaps. Range 8-27 around a median of 16, 24% shot at a top-12 week.",
26,30,Deshaun Watson,CLE,TB,0,14.97,13.66,7.436,13.899,24.885,0.272,"1st-lowest implied total (16.0) against a mid-pack pass defense last year. They rank 16th of 32 against the pass in week 1. Projected 22 attempts for 0 yards, plus 6.0 carries of his own. Usage in week 1 is actually fairly predictive. With only one game on the books, Watson's projection leans on his exact usage last week. This will change as he gets more games under his belt. Range 7-25 around a median of 14, 27% shot at a top-12 week. New HC.",
27,16,Kyler Murray,MIN,CHI,0,14.605,18.612,6.554,14.886,25.599,0.23,"21.5-point implied total against a mid-pack pass defense last year. They rank 22nd of 32 against the pass in week 1. Projected 19 attempts for 121 yards, 3.9 carries of his own. Last week he had 5 attempts, 2 carries and 17% of the snaps. Range 7-26 around a median of 15, 23% shot at a top-12 week. New team.",
28,29,Cam Ward,TEN,PHI,1,14.507,14.489,5.934,14.617,27.422,0.248,"2nd-lowest implied total (16.2) against the 7th-best pass defense by EPA last year. They rank 8th of 32 against the pass in week 1. Projected 32 attempts for 196 yards, 3.1 carries of his own. Last week he had 32 attempts, 4 carries and 100% of the snaps. Range 6-27 around a median of 15, 25% shot at a top-12 week. New HC.",
29,27,Kirk Cousins,LV,LAC,0,14.489,14.605,5.689,14.973,27.887,0.21,"5th-lowest implied total (18.2) against the 9th-best pass defense by EPA last year. They rank 24th of 32 against the pass in week 1. Projected 28 attempts for 189 yards, 3.2 carries of his own. Last week he had 30 attempts, 5 carries and 100% of the snaps. Range 6-28 around a median of 15, 21% shot at a top-12 week. New HC. New team.",
30,19,Malik Willis,MIA,SF,0,13.66,17.69,5.189,13.536,24.574,0.22,"3rd-lowest implied total (16.5) against 8th-worst pass defense by EPA last year. They rank 12th of 32 against the pass in week 1. Projected 18 attempts for 140 yards, plus 5.8 carries of his own. Last week he had 27 attempts, 6 carries and 100% of the snaps. Range 5-25 around a median of 14, 22% shot at a top-12 week. New HC. New team.",
31,32,Carson Wentz,MIN,CHI,0,13.025,8.048,3.947,13.434,27.85,0.196,"21.5-point implied total against a mid-pack pass defense last year. They rank 22nd of 32 against the pass in week 1. Projected 26 attempts for 188 yards, 3.6 carries of his own. Last week he had 19 attempts, 5 carries and 83% of the snaps. Range 4-28 around a median of 13, 20% shot at a top-12 week.",
32,31,Cooper Rush,ATL,CAR,1,8.048,13.025,0.0,6.817,20.535,0.071,"20.5-point implied total against 9th-worst pass defense by EPA last year. They rank 25th of 32 against the pass in week 1. Projected 18 attempts for 118 yards. Last week he had 22 attempts and 100% of the snaps. Range 0-21 around a median of 7, 7% shot at a top-12 week. New team.",
33,35,Drew Lock,SEA,ARI,0,7.908,4.267,0.0,5.708,22.352,0.104,"Sam Darnold is out; his work is not yet priced in here. 23.0-point implied total against 7th-worst pass defense by EPA last year. They rank 21st of 32 against the pass in week 1. Projected 12 attempts for 80 yards, 2.0 carries of his own. Last week he had 22 attempts, 2 carries and 90% of the snaps. Range 0-22 around a median of 6, 10% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
34,34,Kenny Pickett,CAR,ATL,0,4.998,4.998,0.0,0.944,17.84,0.05,"23.0-point implied total against a mid-pack pass defense last year. They rank 7th of 32 against the pass in week 1. No meaningful usage last season, ranked off a QB2 slot Last week he had 1 attempt, 1 carry and 10% of the snaps. Range 0-18 around a median of 1, 5% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks. New team.",
35,33,Stetson Bennett,LA,NYG,1,4.267,7.908,0.0,0.0,14.927,0.055,"3rd-highest implied total (27.8) against a mid-pack pass defense last year. They rank 15th of 32 against the pass in week 1. No meaningful usage last season, ranked off a QB2 slot Usage in week 1 is actually fairly predictive. With only one game on the books, Bennett's projection leans on his exact usage last week. This will change as he gets more games under his belt. Range 0-15 around a median of 0, 6% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
