pos,variant,who,scope,n,pairwise,pw_right,pw_total,spots_off,spearman,pts_got,pts_best,pts_lost
QB,4pt,Wilson,full,36,0.6564516129032258,407,620,8.944444444444445,0.4345364432795592,244.17999999999998,309.84000000000003,65.66000000000005
QB,4pt,Wilson,top16,16,0.6833333333333333,82,120,3.625,0.4970588235294117,244.17999999999998,255.01999999999998,10.840000000000003
QB,4pt,MC,full,36,0.6935483870967742,430,620,7.944444444444445,0.5394334375943757,244.54,309.84000000000003,65.30000000000004
QB,4pt,MC,top16,16,0.6083333333333333,73,120,4.625,0.3205882352941176,244.54,280.72,36.180000000000035
QB,4pt,consensus,full,36,0.7,434,620,7.722222222222222,0.5574746896878331,244.54,309.84000000000003,65.30000000000004
QB,4pt,consensus,top16,16,0.6,72,120,4.5,0.28823529411764703,244.54,280.72,36.180000000000035
QB,6pt,Wilson,full,36,0.6564516129032258,407,620,9.166666666666666,0.4157219946678108,266.14,369.84000000000003,103.70000000000005
QB,6pt,Wilson,top16,16,0.55,66,120,4.875,0.10588235294117648,266.14,313.04,46.900000000000034
QB,6pt,MC,full,36,0.7,434,620,8.055555555555555,0.5402066341126668,290.54,369.84000000000003,79.30000000000001
QB,6pt,MC,top16,16,0.6166666666666667,74,120,4.625,0.3323529411764706,290.54,334.72,44.18000000000001
QB,6pt,consensus,full,36,0.7,434,620,7.777777777777778,0.5466499384317587,290.54,369.84000000000003,79.30000000000001
QB,6pt,consensus,top16,16,0.6,72,120,4.625,0.2735294117647059,290.54,334.72,44.18000000000001
RB,ppr,Wilson,full,59,0.7473309608540926,1260,1686,10.474576271186441,0.6934486436675849,447.6,511.7,64.09999999999997
RB,ppr,Wilson,top36,36,0.6868044515103339,432,629,8.0,0.5395456604260903,447.6,499.3,51.69999999999999
RB,ppr,MC,full,59,0.7894424673784104,1331,1686,9.35593220338983,0.7651947958847424,470.1,511.7,41.599999999999966
RB,ppr,MC,top36,36,0.7047619047619048,444,630,7.444444444444445,0.5598455598455598,470.1,506.9,36.799999999999955
RB,ppr,consensus,full,57,0.7756005056890013,1227,1582,9.403508771929825,0.73913894843057,470.1,511.7,41.599999999999966
RB,ppr,consensus,top36,36,0.7317460317460317,461,630,7.0,0.6362934362934364,470.1,495.5,25.399999999999977
RB,half,Wilson,full,58,0.7541487400122926,1227,1627,10.310344827586206,0.7141958596613142,425.2,471.6,46.400000000000034
RB,half,Wilson,top36,36,0.6878980891719745,432,628,8.0,0.5552838249114621,425.2,456.5,31.30000000000001
RB,half,MC,full,58,0.791641057160418,1288,1627,9.10344827586207,0.7672463626013228,430.6,471.6,41.0
RB,half,MC,top36,36,0.7033492822966507,441,627,7.388888888888889,0.5513290956865619,430.6,463.1,32.5
RB,half,consensus,full,56,0.7770491803278688,1185,1525,9.142857142857142,0.7393453107074442,430.6,471.6,41.0
RB,half,consensus,top36,36,0.7304625199362041,458,627,6.944444444444445,0.6283066346126799,430.6,452.0,21.399999999999977
WR,ppr,Wilson,full,79,0.6305207646671062,1913,3034,19.189873417721518,0.36367855950037203,328.2,481.1,152.90000000000003
WR,ppr,Wilson,top36,36,0.5859872611464968,368,628,10.166666666666666,0.25382932376574024,328.2,384.4,56.19999999999999
WR,ppr,MC,full,79,0.6730388925510876,2042,3034,17.11392405063291,0.4828705043259059,335.5,481.1,145.60000000000002
WR,ppr,MC,top36,36,0.5939490445859873,373,628,9.833333333333334,0.2573046745475227,335.5,409.2,73.69999999999999
WR,ppr,consensus,full,79,0.6723796967699407,2040,3034,17.139240506329113,0.4819569227355211,324.0,481.1,157.10000000000002
WR,ppr,consensus,top36,36,0.5859872611464968,368,628,9.666666666666666,0.23876947037801632,324.0,409.2,85.19999999999999
WR,half,Wilson,full,76,0.6362989323843417,1788,2810,18.07894736842105,0.36212671184903694,270.6,410.2,139.59999999999997
WR,half,Wilson,top36,36,0.6491228070175439,407,627,8.88888888888889,0.4128210156121418,270.6,308.7,38.099999999999966
WR,half,MC,full,76,0.6722419928825623,1889,2810,16.68421052631579,0.47756896484442907,278.5,410.2,131.7
WR,half,MC,top36,36,0.6003184713375797,377,628,9.61111111111111,0.2651563929804386,278.5,343.7,65.19999999999999
WR,half,consensus,full,76,0.6718861209964413,1888,2810,16.763157894736842,0.4749287995608516,267.0,410.2,143.2
WR,half,consensus,top36,36,0.5955414012738853,374,628,9.555555555555555,0.2454627385503381,267.0,343.7,76.69999999999999
TE,ppr,Wilson,full,36,0.5518341307814992,346,627,10.88888888888889,0.16360945146337144,147.29999999999998,206.3,59.00000000000003
TE,ppr,Wilson,top24,24,0.551094890510949,151,274,7.083333333333333,0.15745978001099514,147.29999999999998,191.60000000000002,44.30000000000004
TE,ppr,MC,full,36,0.5263157894736842,330,627,11.222222222222221,0.06307524092608342,126.2,206.3,80.10000000000001
TE,ppr,MC,top24,24,0.5583941605839416,153,274,7.333333333333333,0.1357111916116864,126.2,181.2,54.999999999999986
TE,ppr,consensus,full,35,0.5168918918918919,306,592,11.142857142857142,0.0423058074759728,141.0,206.3,65.30000000000001
TE,ppr,consensus,top24,24,0.5072992700729927,139,274,7.75,0.02348847547125342,141.0,187.60000000000002,46.60000000000002
TE,half,Wilson,full,36,0.5461783439490446,343,628,11.0,0.14493499926989023,114.89999999999999,178.3,63.40000000000002
TE,half,Wilson,top24,24,0.5072992700729927,139,274,7.75,0.03305785436694925,114.89999999999999,165.60000000000002,50.70000000000003
TE,half,MC,full,36,0.5318471337579618,334,628,11.277777777777779,0.0683485653750548,104.2,178.3,74.10000000000001
TE,half,MC,top24,24,0.56,154,275,7.416666666666667,0.12393998988359804,104.2,154.4,50.2
TE,half,consensus,full,35,0.521079258010118,309,593,11.2,0.04762571835489586,119.0,178.3,59.30000000000001
TE,half,consensus,top24,24,0.5054545454545455,139,275,7.916666666666667,0.009567297464698797,119.0,160.60000000000002,41.60000000000002
ALL,4pt+ppr,Wilson,full,210,0.6579520697167756,3926,5967,13.561904761904762,0.4341777542269638,1167.28,1508.9399999999998,341.6600000000001
ALL,4pt+ppr,MC,full,210,0.6926428691134573,4133,5967,12.352380952380953,0.4999217867889661,1176.34,1508.9399999999998,332.6
ALL,4pt+ppr,consensus,full,207,0.6875428963623885,4007,5828,12.357487922705314,0.4915715412901917,1179.6399999999999,1508.9399999999998,329.3
ALL,4pt+half,Wilson,full,206,0.662269129287599,3765,5685,13.058252427184467,0.43595127132360784,1054.88,1369.94,315.06000000000006
ALL,4pt+half,MC,full,206,0.6932277924362357,3941,5685,12.077669902912621,0.498425643038606,1057.84,1369.94,312.1
ALL,4pt+half,consensus,full,203,0.6878154289834174,3816,5548,12.098522167487685,0.48883702038140375,1061.1399999999999,1369.94,308.80000000000007
ALL,6pt+ppr,Wilson,full,210,0.6579520697167756,3926,5967,13.6,0.43095242017923546,1189.24,1568.9399999999998,379.70000000000005
ALL,6pt+ppr,MC,full,210,0.6933132227249874,4137,5967,12.371428571428572,0.5000543347635303,1222.3400000000001,1568.9399999999998,346.6
ALL,6pt+ppr,consensus,full,207,0.6875428963623885,4007,5828,12.367149758454106,0.48968897585435267,1225.64,1568.9399999999998,343.3
ALL,6pt+half,Wilson,full,206,0.662269129287599,3765,5685,13.097087378640778,0.4326633094302926,1076.84,1429.94,353.1000000000001
ALL,6pt+half,MC,full,206,0.6939313984168866,3945,5685,12.097087378640778,0.49856076476024913,1103.8400000000001,1429.94,326.1
