rank_data,player_name,team,opponent,proj,floor_q20,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,implied_team_total,off_continuity,hc_continuity,changed_team,is_rookie,learner,delta_vs_consensus
1,Jalen Hurts,PHI,WAS,23.226,11.44,28.294,0.591,5.0,1.0,0.0,3.337,24.5,1.0,1.0,0.0,0.0,gbm,4.0
2,Daniel Jones,IND,BAL,22.541,10.543,24.956,0.497,24.0,1.0,0.0,2.8,22.0,1.0,1.0,0.0,0.0,gbm,22.0
3,Lamar Jackson,BAL,IND,21.197,9.846,25.817,0.516,2.0,1.0,0.0,3.215,25.5,0.0,0.0,0.0,0.0,gbm,-1.0
4,Justin Herbert,LAC,ARI,20.297,12.64,24.159,0.559,8.0,1.0,0.0,3.283,28.75,1.0,1.0,0.0,0.0,gbm,4.0
5,Caleb Williams,CHI,CAR,19.265,10.683,25.53,0.508,7.0,1.0,0.018,3.272,24.75,1.0,1.0,0.0,0.0,gbm,2.0
6,Joe Burrow,CIN,TB,18.343,8.622,24.193,0.387,4.0,1.0,0.0,2.974,27.0,1.0,1.0,0.0,0.0,gbm,-2.0
7,Bo Nix,DEN,KC,18.15,8.393,26.395,0.334,12.0,1.0,0.005,3.008,20.25,1.0,1.0,0.0,0.0,gbm,5.0
8,Matthew Stafford,LA,SF,18.083,12.133,25.498,0.465,16.0,1.0,0.0,3.014,26.0,1.0,1.0,0.0,0.0,gbm,8.0
9,Sam Darnold,SEA,NE,17.855,9.704,24.603,0.343,22.0,1.0,0.0,3.179,24.0,1.0,1.0,0.0,0.0,gbm,13.0
10,Drake Maye,NE,SEA,17.391,7.071,24.687,0.343,3.0,1.0,0.006,2.969,20.5,1.0,1.0,0.0,0.0,gbm,-7.0
11,Jaxson Dart,NYG,DAL,17.372,10.698,24.394,0.439,13.0,1.0,0.0,3.153,22.75,0.0,0.0,0.0,0.0,gbm,2.0
12,Baker Mayfield,TB,CIN,17.344,10.559,24.11,0.452,19.0,1.0,0.0,3.086,23.5,1.0,1.0,0.0,0.0,gbm,7.0
13,Kyler Murray,MIN,GB,17.015,8.8,24.025,0.344,17.0,1.0,0.0,2.956,24.0,1.0,1.0,1.0,0.0,gbm,4.0
14,Cam Ward,TEN,NYJ,16.901,10.689,23.942,0.345,25.0,1.0,0.0,3.193,20.5,0.0,0.0,0.0,0.0,gbm,11.0
15,Dak Prescott,DAL,NYG,16.379,9.254,24.196,0.25,10.0,1.0,0.0,3.198,25.75,1.0,1.0,0.0,0.0,gbm,-5.0
16,Jared Goff,DET,NO,16.113,10.462,24.638,0.419,15.0,1.0,0.0,3.278,28.25,1.0,1.0,0.0,0.0,gbm,-1.0
17,Josh Allen,BUF,HOU,15.513,8.909,27.96,0.339,1.0,1.0,0.0,3.27,21.5,1.0,1.0,0.0,0.0,gbm,-16.0
18,C.J. Stroud,HOU,BUF,15.357,8.26,23.687,0.284,23.0,1.0,0.0,3.046,23.0,1.0,1.0,0.0,0.0,gbm,5.0
19,Jayden Daniels,WAS,PHI,15.254,7.7,25.779,0.332,6.0,1.0,0.0,2.936,20.0,1.0,1.0,0.0,0.0,gbm,-13.0
20,Bryce Young,CAR,CHI,15.222,9.849,23.541,0.249,26.0,1.0,0.0,3.019,21.75,1.0,1.0,0.0,0.0,gbm,6.0
21,Patrick Mahomes,KC,DEN,14.507,7.267,25.488,0.318,14.0,1.0,0.005,3.023,23.25,1.0,1.0,0.0,0.0,gbm,-7.0
22,Brock Purdy,SF,LA,13.905,6.949,24.151,0.278,11.0,1.0,0.0,2.992,22.5,1.0,1.0,0.0,0.0,gbm,-11.0
23,Aaron Rodgers,PIT,ATL,13.87,7.833,24.404,0.306,28.0,1.0,0.005,3.061,23.0,0.0,0.0,0.0,0.0,gbm,5.0
24,Tua Tagovailoa,ATL,PIT,13.574,9.316,24.743,0.237,32.0,1.0,0.0,3.008,19.5,1.0,1.0,1.0,0.0,gbm,8.0
25,Geno Smith,NYJ,TEN,13.212,7.406,23.642,0.214,29.0,1.0,0.0,3.214,19.0,1.0,1.0,1.0,0.0,gbm,4.0
26,Jordan Love,GB,MIN,12.696,7.102,25.668,0.284,18.0,1.0,0.0,3.044,22.5,1.0,1.0,0.0,0.0,gbm,-8.0
