rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_attempts,sd_snap_share,sd_target_share,sd_carry_share,b_targets,b_carries,b_attempts,b_snap_share,b_target_share,b_carry_share,carries_per_game,targets_per_game,attempts_per_game,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
1,00-0036963,Amon-Ra St. Brown,DET,NYJ,1.0,18.388,8.677,18.625,31.532,0.52,2.0,1.0,9.767,0.081,1.427,0.108,0.0,0.0,0.289,0.709,2.0,13.5,0.0,0.0,0.9,0.351,0.0,12.373,0.059,0.0,0.836,0.33,0.001,0.176,10.118,0.0,27.5,0.287,-0.019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
2,00-0038543,Jaxon Smith-Njigba,SEA,WAS,0.0,17.899,11.124,17.187,30.3,0.41,4.0,1.0,10.584,0.203,0.849,0.094,0.0,0.0,0.326,0.711,2.0,11.0,0.0,0.0,0.9,0.441,0.0,10.529,0.137,0.0,0.837,0.403,0.002,0.412,9.588,0.0,23.75,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
3,00-0039075,Puka Nacua,LA,DEN,0.0,16.157,8.541,16.263,27.368,0.386,1.0,1.0,9.651,0.325,0.542,0.095,0.0,0.0,0.266,0.664,1.0,9.0,0.0,0.0,0.7,0.333,0.0,9.688,0.312,0.0,0.682,0.299,0.006,0.625,10.375,0.0,24.0,-0.081,-0.102,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
4,00-0037239,Chris Olave,NO,LV,1.0,15.674,9.356,14.91,27.362,0.328,7.0,1.0,8.985,0.041,0.926,0.094,0.063,0.193,0.256,0.663,2.0,11.5,0.0,0.0,0.86,0.281,0.0,10.917,0.021,0.021,0.794,0.273,0.0,0.062,9.75,0.062,23.75,0.099,-0.042,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
5,00-0036912,DeVonta Smith,PHI,CHI,0.0,15.077,6.866,15.199,26.77,0.345,9.0,1.0,7.597,0.002,0.628,0.091,0.0,0.0,0.225,0.834,2.0,9.5,0.0,0.0,0.95,0.328,0.0,8.549,0.0,0.0,0.911,0.293,0.0,0.0,6.647,0.0,23.0,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
6,00-0036358,CeeDee Lamb,DAL,BAL,1.0,14.835,7.144,14.657,26.968,0.316,6.0,1.0,6.881,0.039,0.58,0.098,0.0,0.0,0.185,0.645,2.0,8.5,0.5,0.0,0.81,0.278,0.028,8.667,0.359,0.0,0.755,0.247,0.019,0.077,9.0,0.0,24.75,0.085,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
7,00-0036322,Justin Jefferson,MIN,TB,0.0,14.601,6.636,13.715,26.72,0.302,5.0,1.0,9.353,0.053,0.74,0.087,0.0,0.0,0.275,0.714,2.0,7.5,0.0,0.0,0.92,0.354,0.0,7.765,0.039,0.0,0.851,0.327,0.001,0.118,8.294,0.0,22.0,0.08,-0.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
8,00-0038606,Parker Washington,JAX,NE,1.0,14.486,7.133,14.469,25.167,0.3,17.0,2.0,6.619,0.195,0.623,0.071,0.0,0.0,0.181,0.62,2.0,9.0,0.0,0.0,0.61,0.357,0.0,8.111,0.156,0.0,0.613,0.298,0.002,0.467,6.333,0.0,24.25,-0.038,-0.029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
9,00-0040124,Tetairoa McMillan,CAR,CLE,0.0,14.091,7.484,14.117,23.293,0.28,20.0,1.0,7.894,0.002,0.647,0.089,0.0,0.0,0.234,0.862,2.0,9.0,0.0,0.0,0.82,0.274,0.0,8.392,0.0,0.0,0.834,0.261,0.0,0.0,7.176,0.0,22.5,-0.112,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
10,00-0038124,Christian Watson,GB,ATL,1.0,13.774,7.495,13.055,23.767,0.258,12.0,1.0,4.344,0.041,0.396,0.1,0.0,0.0,0.132,0.637,2.0,9.5,0.0,0.0,0.76,0.29,0.0,8.167,0.033,0.0,0.719,0.237,0.0,0.1,5.5,0.0,25.25,0.004,0.016,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
