dim,cont_intercept,cont_team_lag,cont_r2,cont_n,chg_intercept,chg_team_lag,chg_caller_prior,chg_r2,chg_n
def_epa_pass,-0.03475747390218181,0.2519798078477758,0.06675936790582648,474,0.0007719648934790981,0.24058800264913555,0.33555542681952993,0.08240917922238267,37.0
def_epa_rush,-0.05102272996514569,0.27568313005635325,0.08341697894068023,474,0.10915256604671196,0.2158489679189592,0.04086990942795404,0.0294233098844362,37.0
def_pass_funnel,-0.004428416528897242,0.1940206638696043,0.03668938753594486,474,-0.13665962890719185,0.3727530648377573,0.0786767435428974,0.09113648732498814,37.0
def_success_rate,-0.028795840906640145,0.3732695324301505,0.14556946358910416,474,-0.021287697064791583,0.22829678387049845,0.12027693177670361,0.06200784940693782,37.0
def_plays_per_game,-0.03313177415883081,0.26331378641344577,0.06993102464141432,474,0.12587202582667473,-0.16525764756746295,0.2641220004392165,0.059751165040573095,37.0
def_sec_per_play,0.02261261429517256,0.23610976213144205,0.053847701172385576,474,-0.1625848501800287,0.04334156849935444,-0.12949578411921345,0.009053733987765988,37.0
def_sack_rate,0.07501378160778167,0.20045610516449144,0.043875536181314456,474,-0.06813510945663534,0.13932305979853837,0.2765483374309553,0.04236423823388735,37.0
def_adot_allowed,-0.00542867916956065,0.4244216174261097,0.1716863570306726,474,-0.11886546829044989,0.0015255960380634037,0.5053145675881345,0.20392929276542282,37.0
def_comp_pct_allowed,0.013078059492329482,0.38695232772171345,0.1462421787998791,474,-0.056916805416217686,-0.04000146012643898,0.30676681022387803,0.06197039570542684,37.0
def_ypa_allowed,-0.00293488791042292,0.27745805421332,0.07492155146204849,474,-0.16748490863727558,0.3142067440738882,0.10055003363020942,0.12797778144343386,37.0
def_ypc_allowed,-0.048065883046676035,0.274171380051951,0.08322987238955415,474,0.11939220230523814,0.19172622930207378,-0.040676313149206236,0.020945822990178664,37.0
def_rz_td_rate,0.01724589681907915,0.2029924667195998,0.038720078667374036,474,0.03788382277408478,0.19604028577910135,-0.1569393367640366,0.054241043831312896,37.0
def_light_box_rate,-0.055062074365774274,0.36496804494214913,0.13964747691643709,76,,,,,
def_blitz_rate,0.016945264924034142,0.6787501931856683,0.42909991038880513,76,,,,,
