season,team,off_playcaller,continuity,confidence,caller_prior_seasons,plays_per_game,sec_per_play,proe,neutral_pass_rate,early_down_pass_rate,shotgun_rate,no_huddle_rate,adot,deep_rate,short_rate,rb_target_share,te_target_share,wr_target_share,rz_pass_rate,gl_rush_rate,qb_designed_run_rate,sack_rate,pa_rate,motion_rate,screen_rate,rpo_rate,heavy_backfield_rate
2026,ARI,Nathaniel Hackett,1.0,curated,0.0,0.3748543695658557,0.5061128016183665,0.9588986073052369,1.002871348192215,1.0022772616773,0.37511290195924185,0.13924863741249438,-0.28215270342160886,-0.3727294271956457,0.5449105812271657,0.22378512567062328,1.3448348236321221,-1.0037810948922756,1.0582572998121615,-0.061126487786227666,0.2292519933188148,0.4428205409898956,0.14368051399613607,-1.1736445121031065,0.14182290539526207,-0.46727978570015855,-0.8744969137359672
2026,ATL,Tommy Rees,1.0,curated,0.0,0.08202012093871262,0.037367955490214724,-0.5415129300437567,-0.20774176386418985,-0.34408457916277896,0.9469142688649346,0.07698920000445104,-0.04665241227127977,-0.09318106367685121,-0.49783977034989896,0.5591495528196649,0.10359796973030264,-0.4214860437034773,-0.21282708711829218,0.29202494423296105,-0.5811941965279629,-0.43414979626890043,-0.36638390473844845,1.095276437303086,0.18469051046092247,-0.18225637719264332,-0.3271478494642304
2026,BAL,Declan Doyle,0.0,curated,0.0,-0.6107349346409392,0.021305441779909687,-0.6194997921285649,-0.5663029719062512,-0.5866614566950331,-0.02589844367906881,0.03946715569336167,0.31685401505514554,0.13546979249695854,0.07658241663055157,0.23918307983650816,0.3541442224600178,-0.46788974298962605,-0.366005449690603,-0.2320873782176487,0.6626317893749251,0.5859359704199307,0.0,0.0,0.0,0.0,0.0
2026,BUF,Pete Carmichael Jr.,1.0,curated,0.0,0.2900865607527354,0.5061128016183665,-0.1318683633085445,-0.15723108622313361,-0.15027371249175775,-0.9751475433017837,-0.2324815337789665,-0.2236067622390484,-0.15670631911435423,0.3860989459208414,0.022543113789994386,0.18894022624510404,-0.13853812470553517,-0.420078545552959,0.15606993284529222,1.0232961105312472,-0.06580841175373214,0.25745513717281454,0.4597715179567159,0.24987822787212777,0.09246798485137578,0.8967974328044577
2026,CAR,Brad Idzik,1.0,curated,0.0,-0.2416387854386549,0.5061128016183665,-0.5008601270453465,-0.28384661065299693,-0.2823054004784381,0.09129153474762447,-0.22481817332671178,-0.502426074816047,-0.5934031942237894,0.01902614387835838,0.11526208249582631,-0.34313462935006167,0.14317184788019288,0.3849799110631925,-0.6644268508190078,-0.6182862564025691,-0.136747743131427,-0.15561525648934801,-1.2928165940062382,-0.06610546953309844,0.47537833495718246,-0.7034894151610152
2026,CHI,Press Taylor,1.0,curated,0.0,0.49815300056675726,-0.431376890637937,-0.16058301639101746,-0.07247460470536246,0.03596282154931757,-0.8625262171036578,-0.30453214822712626,0.40184623300845107,0.5470440763386522,-0.802471009355753,-0.3816520254574094,0.23478180820441566,0.08637578823800815,-0.2865055922135488,0.05423631334004084,-0.08301722245967866,-0.5246931637244419,0.9058286918608317,0.25671000019797785,0.25615497777013385,-0.1778605194365006,-0.035664315237163735
2026,CIN,Dan Pitcher,1.0,curated,0.0,0.19761258750205832,0.037367955490214724,0.6073972358483013,0.6565209286671068,0.5122733617259261,1.0362046066581236,-0.44664513275951423,-0.1890077574405209,-0.02063183478573775,0.29928821122411914,0.01263611977617015,-0.2711662631966142,0.16172452757883057,0.45337260076370645,-0.48294625380914696,-0.3643069012992322,-0.1650251859513303,-0.8119179318848739,-0.2561865055826068,-0.028362590179835848,0.3721394484771809,-0.3968569257569182
2026,CLE,Travis Switzer,0.0,curated,0.0,-0.20338698697309715,0.3191402817223028,-0.22927300402617107,-0.3233201993677236,-0.3466381875954587,0.058391985175182175,0.049827205886736135,-0.5027144550381897,-0.03046129413719495,0.3501224628330609,0.7830049353997774,0.5804572298487898,-1.0761359755605187,0.05520402746105249,-0.26809795294690186,-0.35585164474634456,0.6617774203094327,0.0,0.0,0.0,0.0,0.0
2026,DAL,Klayton Adams,1.0,curated,0.0,0.5906269738174335,-1.3688665828942403,0.24123351525901568,0.055484109134346905,-0.0007643533587607457,-0.17296708140597294,-0.04319454012504033,0.17711624578244184,-0.05558481740475171,-0.30461822870963307,-0.5445219929608085,-0.10099475702097518,0.4033876552680037,0.28988137681465315,-0.449949781625536,-0.5106400570072558,-0.3450584606969776,0.3809796439551276,0.3288723236822372,-0.1368842768808463,-0.12848082137461297,0.4649077813196276
2026,DEN,Davis Webb,1.0,curated,0.0,0.4287975206287497,-0.431376890637937,0.5861441804089654,0.4458140412491783,0.34842710922214,-0.020646296364380944,0.18604705146782452,-0.21458343986511227,0.036077172641342636,0.9060834669225821,0.22446711926859764,-0.46219498719675883,0.15057563586327322,0.34936854504671794,-0.3922059553042167,0.47929889084672805,-0.5464849336523155,0.09012010294532538,-0.9078440237900847,0.49257734636592565,0.3059828174940099,0.3019883924680999
