season,week,sleeper_id,player,position,team,a_pts_ppr,p_pts_ppr,resid,pred_change,verdict,why,snap_share,level,d_targets,d_carries,d_tds,injury_status,injury_part,left_early,cuts
2026,1,11586,Blake Corum,RB,LAR,5.4,8.64,-3.24,-0.33148951413214656,HOLD,"10 carries, about what was expected. 23% of the snaps.",0.22950819672131148,8.64,-1.06,-0.7200000000000006,-0.44,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,12048,George Holani,RB,SEA,2.9,5.6,-2.6999999999999997,1.0344516747125767,HOLD,8 carries against 5.0 expected. 46% of the snaps.,0.46,5.6,-0.48,3.01,-0.27,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,4039,Cooper Kupp,WR,SEA,5.5,7.91,-2.41,-0.2432311758022982,HOLD,3 targets against 4.3 expected. 78% of the snaps.,0.78,7.91,-1.2599999999999998,-0.06,-0.24,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,8698,Jake Tonges,TE,SF,0.0,2.17,-2.17,0.6074227881937835,HOLD,12% of the snaps.,0.12307692307692308,2.17,-1.22,0.0,-0.08,Questionable,Knee,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,11435,Emanuel Wilson,RB,SEA,0.3,2.42,-2.12,1.2285659651237586,HOLD,2 carries against 3.0 expected. 6% of the snaps.,0.06,2.42,-0.34,-1.02,-0.11,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,13286,Jadarian Price,RB,SEA,7.8,9.78,-1.9799999999999995,-0.2154771613093943,HOLD,10 carries against 12.8 expected. 48% of the snaps.,0.48,9.78,0.69,-2.7799999999999994,-0.42,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,7611,Rhamondre Stevenson,RB,NE,14.5,16.43,-1.9299999999999997,-1.4617625813520123,HOLD,6 targets against 3.3 expected. 18 carries against 16.7 expected. 85% of the snaps. 0 touchdowns against 0.7 expected.,0.8450704225352113,16.43,2.72,1.3399999999999999,-0.71,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,12718,Konata Mumpfield,WR,LAR,0.0,1.83,-1.83,0.9659737369027899,HOLD,26% of the snaps.,0.26229508196721313,1.83,-0.30000000000000004,-0.04,-0.07,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,11168,Xavier Smith,WR,LAR,0.0,1.7,-1.7,0.8485035530533387,HOLD,26% of the snaps.,0.26229508196721313,1.7,-0.86,-0.09,-0.05,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,12491,Corey Kiner,RB,NE,1.1,2.51,-1.4099999999999997,1.6584532598865875,HOLD,6 carries against 2.5 expected. 11% of the snaps.,0.11267605633802817,2.51,-0.54,3.53,-0.11,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,3271,Tyler Higbee,TE,LAR,1.2,2.34,-1.14,1.0475830583999906,HOLD,20% of the snaps.,0.19672131147540983,2.34,0.7,0.0,-0.08,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,10214,Davis Allen,TE,LAR,2.3,1.97,0.32999999999999985,1.2793637142849044,HOLD,34% of the snaps.,0.3442622950819672,1.97,-0.1100000000000001,0.0,-0.07,Questionable,Head,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
