season,week,sleeper_id,player,position,team,a_pts_ppr,p_pts_ppr,resid,pred_change,verdict,why,snap_share,level,d_targets,d_carries,d_tds,injury_status,injury_part,left_early,cuts
2026,2,12508,Jaxson Dart,QB,NYG,0.8,17.61,-16.81,-2.943415927641313,INJURED,0 carries against 5.9 expected. 5 attempts against 30.3 expected. 12% of the snaps. 0 touchdowns against 1.8 expected.,0.1206896551724138,17.61,0.0,-5.93,-1.8099999999999998,Out,Knee,True,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,2,4866,Saquon Barkley,RB,PHI,3.0,16.42,-13.420000000000002,-3.7071969471047503,INJURED,2 targets against 3.2 expected. 4 carries against 16.1 expected. 16% of the snaps. 0 touchdowns against 0.8 expected.,0.15789473684210525,16.42,-1.1800000000000002,-12.11,-0.77,Questionable,Arm,True,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,2,10222,Jayden Reed,WR,GB,1.4,13.91,-12.51,-4.3618477117123255,INJURED,1 targets against 6.1 expected. 3% of the snaps.,0.03389830508474576,13.91,-5.12,-0.96,-0.51,Out,Neck,True,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,2,11632,Malik Nabers,WR,NYG,1.1,13.56,-12.46,-2.308651071464999,HOLD,4 targets against 8.4 expected. 74% of the snaps.,0.7413793103448276,13.56,-4.41,-0.16,-0.46,Questionable,Shoulder,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,2,4983,DJ Moore,WR,BUF,-0.1,11.66,-11.76,-1.479421963936917,INJURED,0 targets against 6.2 expected. 31% of the snaps.,0.3108108108108108,11.66,-6.25,0.5700000000000001,-0.39,Out,Shoulder,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,2,5892,David Montgomery,RB,HOU,4.4,16.01,-11.610000000000001,-0.7095994364126623,BUY LOW,6 carries against 15.9 expected. 52% of the snaps. 0 touchdowns against 0.8 expected.,0.525,16.01,-0.29000000000000004,-9.93,-0.7999999999999999,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,2,12517,Colston Loveland,TE,CHI,1.3,12.6,-11.299999999999999,-3.0439313113675213,HOLD,3 targets against 6.8 expected. 86% of the snaps.,0.8648648648648649,12.6,-3.8,-0.05,-0.37,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,2,9509,Bijan Robinson,RB,ATL,11.1,22.37,-11.270000000000001,-2.128189123173562,HOLD,4 targets against 5.0 expected. 16 carries against 19.4 expected. 51% of the snaps. 0 touchdowns against 0.9 expected.,0.5072463768115942,22.37,-1.0499999999999998,-3.41,-0.94,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,2,96,Aaron Rodgers,QB,PIT,4.98,15.73,-10.75,-2.4503485797448885,HOLD,39 attempts against 30.7 expected. 96% of the snaps. 0 touchdowns against 2.0 expected.,0.9571428571428572,15.73,0.0,-0.26,-1.96,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,2,6794,Justin Jefferson,WR,MIN,8.5,18.04,-9.54,-1.0157398919638467,BUY LOW,6 targets against 9.2 expected. 100% of the snaps.,1.0,18.04,-3.1500000000000004,-0.13,-0.48,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
