player,year,n_ctl,carries_pg__case,carries_pg__ctl,targets_pg__case,targets_pg__ctl,touches_pg__case,touches_pg__ctl,opp_pg__case,opp_pg__ctl,rush_share__case,rush_share__ctl,tgt_share__case,tgt_share__ctl,snaps_pg__case,snaps_pg__ctl,snap_pct__case,snap_pct__ctl,ypc__case,ypc__ctl,yds_per_touch__case,yds_per_touch__ctl,epa_per_rush__case,epa_per_rush__ctl,success_rate__case,success_rate__ctl,explosive_rate__case,explosive_rate__ctl,stuff_rate__case,stuff_rate__ctl,rush_fd_rate__case,rush_fd_rate__ctl,yds_per_tgt__case,yds_per_tgt__ctl,ngs_ryoe_att__case,ngs_ryoe_att__ctl,rush_yds_pg__case,rush_yds_pg__ctl,scrim_yds_pg__case,scrim_yds_pg__ctl,ppr_pg__case,ppr_pg__ctl
Olandis Gary,2000,103,-15.5,-1.4375,-2.0,-0.38888888888888884,-16.75,-1.5288461538461533,-17.5,-1.2678571428571423,-0.5523342253939935,-0.038335901386748805,-0.056657441574415754,-0.004669112392205452,,,,,-0.430939226519337,-0.15897032001326483,-0.33047498949138276,-0.22240038872691947,0.09948500356494527,-0.011664816762394555,-0.01928855287389747,-0.008608642182346693,-0.08645924202772123,-0.006451612903225809,-0.07511873606668606,0.005405405405405406,0.0015508384220218885,-0.008017225581821524,1.7999999999999998,0.01680672268907557,,,-71.75,-6.125,-78.625,-10.107142857142861,-12.862500000000002,-2.4625000000000004
Edgerrin James,2001,41,-6.339285714285715,-2.75,0.2142857142857144,-0.38888888888888884,-6.357142857142858,-2.966666666666665,-6.125,-2.966666666666665,-0.13827254859139548,-0.06567164179104468,-0.011326860841423952,-0.003455846479102298,,,,,-0.7884545627277912,-0.2778999450247386,-1.051217382869337,-0.2123193096008631,-0.08994074659813808,-0.051752409596056814,-0.04795052942497369,0.0026571376214036824,-0.03784568082497021,-0.006508793795873144,0.02169519631043479,-0.013195381616434243,-0.060991829754892646,-0.008017225581821524,-2.7340909090909093,0.01680672268907557,,,-43.23214285714286,-19.125,-57.32142857142857,-18.25,-9.714285714285717,-2.700000000000003
Jamal Lewis,2001,27,-6.0,-2.125,1.0,-0.08333333333333348,-5.1875,-2.25,-5.0,-1.875,0.012539545585274703,-0.05473110096397771,0.02262663026994237,0.00811546840958606,,,,,-0.2806673524495311,-0.24871921255843787,-0.17215255000321594,-0.14084967320261432,-0.14690770708807704,-0.051752409596056814,-0.03304616175903302,-0.00799026117751217,-0.027902790279027895,-0.00702465383316446,0.020155586987270158,-0.011281529164477139,-0.026584801337276587,-0.016866102743965328,-1.8151515151515154,0.01680672268907557,,,-32.9375,-9.4375,-30.5625,-9.0625,-2.993750000000002,-1.668181818181818
Correll Buckhalter,2002,50,2.4000000000000004,1.0499999999999998,-0.5833333333333334,0.3827380952380952,2.1916666666666664,1.0,1.8166666666666664,0.875,0.08880892407340771,0.04540955335272913,-0.0010396863117870733,0.011023485027592506,,,,,-0.36507936507936556,-0.003606825170217487,-0.4185828877005351,-0.17944985454626927,-0.026464957811440697,-0.026425827463918583,-0.058531746031746046,-0.027926115192164397,-0.08432539682539683,-0.007267926552995629,-0.035714285714285726,0.013672382709320363,-0.04563492063492067,-0.02192785395437165,6.1000000000000005,0.33333333333333304,,,8.133333333333333,0.3701923076923066,8.0,2.9903846153846168,3.4416666666666673,0.7256944444444442
Deuce McAllister,2005,135,-7.916666666666668,-1.875,-0.5,-0.4375,-8.416666666666668,-1.875,-8.416666666666668,-1.875,-0.209387171942238,-0.053171171171171205,-0.06886031815210286,-0.005676909786498818,,,,,0.49556069850620643,-0.21685823754789268,0.4286491079014443,-0.2241328106438587,0.10073751921784911,-0.008295940976125725,0.09888491479065853,-0.017403691316734804,-0.015232484746475913,-0.0034843205574912883,-0.01693667157584683,0.008490217792543386,0.054386703134862185,-0.0077093449186472485,-0.6000000000000005,-0.10869565217391308,,,-22.266666666666666,-15.075000000000003,-27.066666666666663,-15.25,-3.3066666666666684,-2.69464285714286
Ronnie Brown,2007,200,-4.25,-1.6875,-2.6875,-0.4833333333333334,-6.9375,-1.6306818181818183,-6.9375,-1.625,-0.2991697191697192,-0.0560162304117679,-0.13749999999999998,-0.012553096566631484,,,,,-1.045867302976072,-0.12935870411950678,-1.5871802411055578,-0.1720188166606138,-0.20900176618922034,-0.009602295336187193,-0.08507324186385629,-0.005315124757133194,-0.07208192483595148,-0.003246890153911039,0.04991051898985882,0.0038293827963813837,-0.09017697355339035,-0.0029150842821609735,-2.3293460925039877,-0.10869565217391308,,,-36.625,-9.604166666666668,-68.375,-10.320616883116884,-9.524999999999999,-2.5241071428571438
Deuce McAllister,2007,158,-9.14423076923077,-2.0,-0.4903846153846154,-0.4375,-9.634615384615385,-2.3293269230769234,-9.634615384615385,-2.375,-0.20647976327799794,-0.06920266738945452,-0.023901496861419597,-0.012001350535593217,,,,,-0.4171989511194778,-0.13331842874804867,-0.19044155844155775,-0.049853853611296906,0.008532364128860645,-0.003208687691266316,0.07449741141666105,-0.009735713857408401,-0.03025616889665838,-0.0015311485899721158,0.004235863645532176,0.005627520500938218,0.03005446110401397,-0.006078915759268638,0.3777777777777773,0.08484848484848584,,,-42.97115384615385,-13.46875,-45.75,-10.517045454545453,-5.296153846153848,-2.378124999999999
Kevin Smith,2009,146,-9.75,-1.625,-1.7083333333333335,-0.1982142857142859,-10.666666666666668,-1.7860576923076925,-11.458333333333334,-1.8125,-0.45707444989168844,-0.0701267048157459,-0.05769474190526823,-0.00920490597722265,,,,,0.14853452558370606,0.03266295820852916,0.546085858585859,-0.0439821953085886,-0.014035902075569512,-0.02897049729256651,-0.0715350223546945,0.0037902544106018232,0.06135121708892201,-0.004872219157933441,-0.03129657228017882,-0.004385964912280715,-0.020615996025832084,-0.0015187849720224023,-0.569642857142858,-0.3179723502304146,,,-34.66666666666667,-5.357142857142858,-50.291666666666664,-8.611904761904757,-7.445833333333334,-1.611011904761904
Jerious Norwood,2010,123,-5.125,-1.708333333333333,-1.8333333333333333,-0.1875,-6.875,-1.75,-6.958333333333333,-1.5357142857142856,-0.14644857058650163,-0.05916460041960711,-0.05151197684535753,-0.0028542706351200875,,,,,-0.7323059360730597,-0.47373358348968075,-1.7801724137931036,-0.1912568306010929,-0.17844965053317077,-0.06576126704989929,-0.17579908675799086,-0.020348837209302306,-0.02682648401826484,-0.012162523389468063,-0.010273972602739712,0.003219315895372221,-0.10901826484018265,-0.013897866839043316,-8.5625,-0.30439814814814836,,,-19.708333333333336,-12.444444444444443,-36.833333333333336,-13.81666666666667,-6.183333333333334,-1.7371794871794863
Kevin Smith,2010,171,0.3214285714285712,-1.125,1.2857142857142856,-0.125,1.75,-1.3125,1.6071428571428577,-1.2142857142857135,0.06529278378017872,-0.046443241224794624,0.012929395360628718,-0.0038801727215773962,,,,,1.3457481872116022,-0.01550731894270907,0.9897959183673475,-0.03658256880734001,0.14976503567920643,-0.016992763976045995,-0.07547791694133155,-0.0021806614602951635,0.03757415952537904,-0.00460189980667796,-0.06954515491100857,0.007483912483912489,0.048121292023731055,-0.0031056794971949936,-0.5999999999999996,-0.13468013468013407,,,15.375,-7.708333333333336,22.23214285714286,-8.875,9.75892857142857,-1.3833333333333346
