variant,position,season,spearman,top12,regret,mae_pts,mean_abs_rank_err
full,QB,2019,0.12075180626796461,0.3333333333333333,11.773333333333332,7.616969980875884,10.722222222222221
full,QB,2020,0.5061156551088454,0.5,5.5083333333333355,5.761398785986614,8.222222222222221
full,QB,2021,0.33554282841861094,0.5,5.726666666666669,6.793269027919034,9.444444444444445
full,QB,2022,0.5460865268536309,0.6666666666666666,2.5700000000000003,4.885198287839556,7.277777777777778
full,QB,2023,0.1644029695709261,0.4166666666666667,6.803333333333337,6.935204972904743,10.666666666666666
full,QB,2024,0.3062460390201029,0.3333333333333333,7.550000000000002,5.5298926017377275,9.555555555555555
full,QB,2025,0.5554791425317849,0.5833333333333334,6.69166666666667,8.269651860529226,8.0
full,RB,2019,0.47500384976853727,0.4166666666666667,9.366666666666665,7.133035662867668,14.666666666666666
full,RB,2020,0.3052406362388426,0.4166666666666667,8.650000000000006,5.740015881597133,16.2
full,RB,2021,0.5661649167304673,0.5,6.88333333333333,5.222254890585452,11.833333333333334
full,RB,2022,0.5426198912916593,0.16666666666666666,10.475,5.880861493771809,12.933333333333334
full,RB,2023,0.3473692206755278,0.3333333333333333,7.066666666666663,5.308038200292131,14.966666666666667
full,RB,2024,0.5616132143416415,0.4166666666666667,4.100000000000001,5.442841607184353,12.166666666666666
full,RB,2025,0.725604984511971,0.5833333333333334,1.6166666666666671,4.245731857393295,10.0
full,TE,2019,0.09301189155540299,0.4166666666666667,7.716666666666666,5.208712840718418,11.333333333333334
full,TE,2020,0.3825706449639182,0.5833333333333334,3.500000000000005,4.688711200325835,9.333333333333334
full,TE,2021,0.5001950262182968,0.5833333333333334,4.175000000000002,5.30507377148851,7.666666666666667
full,TE,2022,0.2681373455668131,0.4166666666666667,5.533333333333335,5.120387179007708,9.722222222222221
full,TE,2023,0.14329202293858334,0.4166666666666667,4.25,3.7043627031367925,10.61111111111111
full,TE,2024,0.23571850858579976,0.5833333333333334,2.8250000000000006,3.5606890613775324,9.777777777777779
full,TE,2025,0.4207274115566065,0.5833333333333334,4.441666666666667,3.7602284103910386,7.944444444444445
full,WR,2019,0.31660386131856977,0.16666666666666666,14.433333333333332,7.466414409818233,20.975
full,WR,2020,0.3681449063010253,0.3333333333333333,10.29166666666667,6.376913694726065,20.025
full,WR,2021,0.5136365110453747,0.3333333333333333,10.658333333333337,6.396832274871786,18.05
full,WR,2022,0.3046013741287271,0.4166666666666667,5.924999999999997,6.214529512398885,21.475
full,WR,2023,0.43013373374448044,0.4166666666666667,7.716666666666666,6.14505179828919,19.625
full,WR,2024,0.22025295805419565,0.3333333333333333,9.83333333333333,6.216870542343555,22.525
full,WR,2025,0.29216562067529533,0.25,9.5,6.039888474471598,22.4
no_playcaller_layer,QB,2019,0.13079300124547127,0.3333333333333333,11.629999999999997,7.735715641992666,11.0
no_playcaller_layer,QB,2020,0.5791168193028712,0.5833333333333334,3.7633333333333354,5.273157254436547,7.222222222222222
no_playcaller_layer,QB,2021,0.44391531078472934,0.5,5.236666666666669,6.846779783026296,8.833333333333334
no_playcaller_layer,QB,2022,0.547373859543055,0.6666666666666666,3.3533333333333366,4.853533594128074,7.0
no_playcaller_layer,QB,2023,0.18520192681660516,0.3333333333333333,7.925000000000002,6.877750862607243,10.555555555555555
no_playcaller_layer,QB,2024,0.691822422883092,0.5833333333333334,3.3316666666666683,4.689457231441738,6.722222222222222
no_playcaller_layer,QB,2025,0.5281604961777627,0.5,9.06166666666667,8.257198390863614,8.38888888888889
no_playcaller_layer,RB,2019,0.547871597546919,0.4166666666666667,8.599999999999996,7.396479686828753,13.4
no_playcaller_layer,RB,2020,0.38015449653014166,0.4166666666666667,8.650000000000006,5.578184989262451,15.566666666666666
no_playcaller_layer,RB,2021,0.5630248298728033,0.5,6.88333333333333,5.053129099219094,12.1
no_playcaller_layer,RB,2022,0.49037412857515156,0.25,7.858333333333334,5.685962494420241,13.5
no_playcaller_layer,RB,2023,0.32946416399911993,0.4166666666666667,6.141666666666663,5.345433815874875,15.366666666666667
no_playcaller_layer,RB,2024,0.5459168874760364,0.4166666666666667,4.100000000000001,5.399455669894569,12.533333333333333
no_playcaller_layer,RB,2025,0.7312037501492444,0.5,2.441666666666665,4.336230110119519,10.133333333333333
no_playcaller_layer,TE,2019,0.04374624433513493,0.3333333333333333,9.125000000000002,5.934590765384011,11.444444444444445
no_playcaller_layer,TE,2020,0.4955911787049411,0.5,4.858333333333337,4.74136119294898,8.0
no_playcaller_layer,TE,2021,0.5072868699912682,0.5833333333333334,3.683333333333335,5.465082798147227,7.5
no_playcaller_layer,TE,2022,0.20073591324609022,0.4166666666666667,5.533333333333335,4.981148746750048,10.555555555555555
no_playcaller_layer,TE,2023,0.21939572132526106,0.4166666666666667,4.099999999999999,3.6497060389975013,10.055555555555555
no_playcaller_layer,TE,2024,0.15044766012470717,0.5833333333333334,4.616666666666667,4.167615788545265,9.833333333333334
no_playcaller_layer,TE,2025,0.3693595299130673,0.5833333333333334,4.441666666666666,3.843615140741017,9.0
no_playcaller_layer,WR,2019,0.3651463771775883,0.25,15.400000000000006,7.350484430927102,20.65
no_playcaller_layer,WR,2020,0.3563524780752593,0.25,11.266666666666667,6.354441159404602,20.525
no_playcaller_layer,WR,2021,0.48440260987410133,0.3333333333333333,10.658333333333333,6.372193196773009,18.125
no_playcaller_layer,WR,2022,0.3280441363442583,0.4166666666666667,6.358333333333332,6.334470555230316,20.725
no_playcaller_layer,WR,2023,0.42715119250537087,0.4166666666666667,7.033333333333334,6.258486933662091,19.425
no_playcaller_layer,WR,2024,0.2765411275366995,0.3333333333333333,9.575000000000003,6.115585535085118,21.85
