pos,k_def,rho,delta
QB,,0.6208307138872864,0.0
QB,0.5,0.6200049292786608,-0.0008257846086255904
QB,1.0,0.6201873635918863,-0.0006433502954000803
QB,2.0,0.6203602705165217,-0.0004704433707647393
QB,4.0,0.6204973589427676,-0.00033335494451880443
QB,8.0,0.6208462625335323,1.5548646245866493e-05
QB,16.0,0.6211379016417391,0.00030718775445270907
QB,32.0,0.6209136797804975,8.296589321110659e-05
QB,64.0,0.6212016691193277,0.00037095523204133674
QB,256.0,0.6212168359286785,0.0003861220413921007
RB,,0.660488913079415,0.0
RB,0.5,0.6613571155058635,0.0008682024264484722
RB,1.0,0.6614468904703008,0.0009579773908857669
RB,2.0,0.6614397840161271,0.0009508709367120893
RB,4.0,0.6611872367880902,0.0006983237086751748
RB,8.0,0.661147302909298,0.0006583898298829771
RB,16.0,0.660858989692035,0.00037007661262000724
RB,32.0,0.6608357218683684,0.00034680878895332334
RB,64.0,0.6607447015818966,0.0002557885024815354
RB,256.0,0.6607895953642683,0.00030068228485324866
WR,,0.6510478738246699,0.0
WR,0.5,0.6511509714702335,0.00010309764556359902
WR,1.0,0.6511232191602837,7.534533561381895e-05
WR,2.0,0.6511740439122314,0.00012617008756155013
WR,4.0,0.6511863799094164,0.00013850608474652581
WR,8.0,0.6511658633814226,0.00011798955675268452
WR,16.0,0.6511945304767812,0.00014665665211133216
WR,32.0,0.6510838465607945,3.597273612465646e-05
WR,64.0,0.6511751402462663,0.0001272664215964392
WR,256.0,0.6512009426633928,0.0001530688387229029
TE,,0.5883477052654318,0.0
TE,0.5,0.5884168812268823,6.91759614505072e-05
TE,1.0,0.5884472968826107,9.959161717887355e-05
TE,2.0,0.58844854796205,0.00010084269661825296
TE,4.0,0.5885834111908935,0.00023570592546173774
TE,8.0,0.5883628576441922,1.5152378760374674e-05
TE,16.0,0.587746584913008,-0.0006011203524237674
TE,32.0,0.5876810176865632,-0.0006666875788685633
TE,64.0,0.5879038163847592,-0.0004438888806725938
TE,256.0,0.588069701792433,-0.0002780034729987779
