qb_id,player_name,rd,pk,seasons,rush,designed,scramble,epa,fpg,qb1,best,y0,y1,career_q,quadrant
00-0023682,Ryan Fitzpatrick,7,250,1,17.266666666666666,-0.5333333333333333,17.8,0.04219947665981985,16.204,0,17,2019,2019,3,NOT EFFICIENT + RUSHING
00-0035710,Daniel Jones,1,6,6,27.654545454545456,16.61038961038961,12.987012987012987,-0.03839492841008221,15.821118881118881,1,9,2019,2025,3,NOT EFFICIENT + RUSHING
00-0033949,Joshua Dobbs,4,135,1,32.76923076923077,11.153846153846153,21.615384615384617,-0.11528223059781652,15.473846153846154,0,20,2023,2023,3,NOT EFFICIENT + RUSHING
00-0037077,Sam Howell,5,144,1,15.705882352941176,1.6470588235294117,14.058823529411764,-0.1326995577061089,15.090588235294115,0,14,2023,2023,3,NOT EFFICIENT + RUSHING
00-0028118,Tyrod Taylor,6,180,1,29.533333333333335,8.666666666666666,20.866666666666667,0.03981932962220497,14.950666666666667,0,16,2017,2017,3,NOT EFFICIENT + RUSHING
00-0039164,Anthony Richardson,1,4,1,46.18181818181818,29.454545454545453,16.727272727272727,-0.11729841334650601,14.850909090909092,0,25,2024,2024,3,NOT EFFICIENT + RUSHING
00-0031407,Blake Bortles,1,3,2,24.63701923076923,9.192307692307693,15.444711538461538,-0.002689857817544286,14.518413461538461,0,13,2017,2018,3,NOT EFFICIENT + RUSHING
00-0040743,Tyler Shough,2,40,1,17.90909090909091,6.545454545454546,11.363636363636363,-0.004860278663752257,14.46,0,26,2025,2025,3,NOT EFFICIENT + RUSHING
00-0035289,Gardner Minshew,6,178,2,16.276785714285715,0.24553571428571427,16.03125,-0.00472348258859397,14.405000000000001,0,19,2019,2023,3,NOT EFFICIENT + RUSHING
00-0032268,Marcus Mariota,1,2,3,26.0,11.933333333333334,15.384615384615385,0.0022173279311197046,14.118666666666666,0,18,2017,2022,3,NOT EFFICIENT + RUSHING
00-0031800,Taylor Heinicke,,,1,20.125,2.8125,17.3125,-0.05216560176860223,13.934999999999999,0,20,2021,2021,3,NOT EFFICIENT + RUSHING
00-0039150,Bryce Young,1,1,3,16.0625,-0.125,16.1875,-0.027280650718350456,13.74,0,19,2023,2025,3,NOT EFFICIENT + RUSHING
00-0033119,Jacoby Brissett,3,91,4,16.3375,1.9142857142857141,13.807142857142857,0.008256116657256828,13.712250000000001,0,17,2017,2025,3,NOT EFFICIENT + RUSHING
00-0033869,Mitchell Trubisky,1,2,3,21.25,5.2,17.833333333333332,-0.054553795695570284,13.561333333333332,0,15,2017,2019,3,NOT EFFICIENT + RUSHING
00-0039923,J.J. McCarthy,1,10,1,19.1,3.5,15.6,-0.1510853227666139,12.638,0,31,2025,2025,3,NOT EFFICIENT + RUSHING
00-0033899,DeShone Kizer,2,52,1,28.066666666666666,7.0,21.066666666666666,-0.20447178943458805,11.723999999999998,0,25,2017,2017,3,NOT EFFICIENT + RUSHING
00-0031589,Brett Hundley,5,147,1,24.818181818181817,5.7272727272727275,19.09090909090909,-0.15723933486109215,11.158181818181818,0,31,2017,2017,3,NOT EFFICIENT + RUSHING
00-0037013,Zach Wilson,1,2,2,16.26923076923077,0.35256410256410253,15.916666666666666,-0.22068929235986035,10.87448717948718,0,29,2021,2023,3,NOT EFFICIENT + RUSHING
00-0039152,Will Levis,2,33,1,15.416666666666666,3.8333333333333335,11.583333333333334,-0.1635387787578873,10.011666666666665,0,30,2024,2024,3,NOT EFFICIENT + RUSHING
00-0029604,Kirk Cousins,4,102,7,8.0625,1.4,6.411764705882353,0.04081990758390521,17.41375,4,6,2017,2024,4,NOT EFFICIENT + NOT RUSHING
00-0021206,Josh McCown,3,81,1,10.615384615384615,1.0,9.615384615384615,0.04405355026136895,15.910769230769233,0,20,2017,2017,4,NOT EFFICIENT + NOT RUSHING
00-0034855,Baker Mayfield,1,1,8,10.489495798319329,0.8928571428571428,9.808823529411764,0.05772719195738914,15.790367647058822,3,4,2018,2025,4,NOT EFFICIENT + NOT RUSHING
00-0030565,Geno Smith,2,39,4,13.87843137254902,1.115686274509804,12.762745098039215,0.03538697119922989,15.443372549019607,1,5,2022,2025,4,NOT EFFICIENT + NOT RUSHING
00-0031280,Derek Carr,2,36,8,6.251838235294118,0.6568627450980392,5.033333333333333,0.045400644786455065,14.871000000000002,0,13,2017,2024,4,NOT EFFICIENT + NOT RUSHING
00-0028986,Case Keenum,,,2,9.15625,0.7145833333333333,8.441666666666666,0.049358071691228605,14.736625,0,14,2017,2018,4,NOT EFFICIENT + NOT RUSHING
00-0027973,Andy Dalton,2,35,4,6.925480769230769,1.3660714285714286,4.9110576923076925,-0.006792839224878852,14.496778846153845,0,17,2017,2022,4,NOT EFFICIENT + NOT RUSHING
00-0035704,Drew Lock,2,42,1,13.23076923076923,3.230769230769231,10.0,-0.08814104101197118,14.04,0,23,2020,2020,4,NOT EFFICIENT + NOT RUSHING
00-0022803,Eli Manning,1,1,2,1.9166666666666667,0.25,1.6666666666666667,-0.03225410113787014,13.785250000000001,0,16,2017,2018,4,NOT EFFICIENT + NOT RUSHING
00-0034577,Kyle Allen,,,1,8.538461538461538,0.8461538461538461,7.6923076923076925,-0.04144578796009289,13.69076923076923,0,28,2019,2019,4,NOT EFFICIENT + NOT RUSHING
00-0034869,Sam Darnold,1,3,6,12.54524886877828,1.1838235294117647,10.952488687782806,-0.03466020856900731,13.6203431372549,1,9,2018,2025,4,NOT EFFICIENT + NOT RUSHING
00-0036972,Mac Jones,1,15,3,9.272727272727273,1.5454545454545454,7.7272727272727275,-0.06900820933366349,12.362857142857141,0,18,2021,2023,4,NOT EFFICIENT + NOT RUSHING
00-0036898,Davis Mills,3,67,2,5.707692307692308,0.558974358974359,5.148717948717948,-0.12981231091359896,12.129128205128204,0,21,2021,2022,4,NOT EFFICIENT + NOT RUSHING
00-0038122,Desmond Ridder,3,74,1,13.4,4.8,8.6,-0.06653592799175607,11.836,0,22,2023,2023,4,NOT EFFICIENT + NOT RUSHING
00-0026158,Joe Flacco,1,18,2,4.125,1.8461538461538463,2.2788461538461537,-0.09720833567050016,11.532403846153844,0,24,2017,2025,4,NOT EFFICIENT + NOT RUSHING
00-0032156,Trevor Siemian,7,250,1,12.090909090909092,0.0,12.090909090909092,-0.1350564984471263,11.518181818181818,0,30,2017,2017,4,NOT EFFICIENT + NOT RUSHING
00-0038579,Aidan O'Connell,4,135,1,1.5454545454545454,1.5454545454545454,0.0,-0.06031916335251614,11.492727272727274,0,28,2023,2023,4,NOT EFFICIENT + NOT RUSHING
00-0024226,Jay Cutler,1,11,1,2.7857142857142856,0.5,2.2857142857142856,-0.09344229911040901,11.324285714285713,0,27,2017,2017,4,NOT EFFICIENT + NOT RUSHING
00-0040676,Cam Ward,1,1,1,9.941176470588236,1.0588235294117647,8.882352941176471,-0.16715381673962734,11.038823529411765,0,22,2025,2025,4,NOT EFFICIENT + NOT RUSHING
00-0034771,Mason Rudolph,3,76,1,4.9,-0.1,5.0,-0.09964889566955705,10.95,0,30,2019,2019,4,NOT EFFICIENT + NOT RUSHING
00-0038102,Kenny Pickett,1,20,2,12.592948717948719,2.019230769230769,10.573717948717949,-0.06028602101313063,10.47826923076923,0,28,2022,2023,4,NOT EFFICIENT + NOT RUSHING
00-0034343,Josh Rosen,1,10,1,10.357142857142858,0.0,10.357142857142858,-0.3261077119906417,8.115714285714287,0,34,2018,2018,4,NOT EFFICIENT + NOT RUSHING
