qb_id,player_name,rd,pk,seasons,rush,designed,scramble,epa,fpg,qb1,best,y0,y1,career_q,quadrant
00-0017200,Kurt Warner,,,2,1.0104166666666665,-0.16666666666666666,1.1770833333333335,0.1093859875507535,15.543375,1,5,2008,2009,2,EFFICIENT + NOT RUSHING
00-0031345,Jimmy Garoppolo,2,62,3,3.933333333333333,2.4545454545454546,1.4666666666666666,0.16124944891403964,15.22,0,13,2019,2022,2,EFFICIENT + NOT RUSHING
00-0022803,Eli Manning,1,1,11,2.375,0.0,2.5625,0.06934371907332858,14.548750000000002,5,6,2008,2018,2,EFFICIENT + NOT RUSHING
00-0019559,Chad Pennington,1,18,1,4.5625,0.1875,4.375,0.18618547029585328,13.713750000000001,1,9,2008,2008,2,EFFICIENT + NOT RUSHING
00-0036945,Justin Fields,1,11,3,51.15384615384615,23.46153846153846,30.583333333333332,-0.07221411123662345,17.767692307692307,1,6,2021,2023,3,NOT EFFICIENT + RUSHING
00-0040691,Jaxson Dart,1,25,1,35.142857142857146,14.428571428571429,20.714285714285715,0.0498201439273581,17.291428571428572,0,13,2025,2025,3,NOT EFFICIENT + RUSHING
00-0032950,Carson Wentz,1,2,6,14.580882352941178,3.639705882352941,10.941176470588236,0.037160238738477694,16.92375,2,5,2016,2021,3,NOT EFFICIENT + RUSHING
00-0036971,Trevor Lawrence,1,1,4,20.941176470588236,4.117647058823529,16.0,0.03478906066475219,16.903676470588234,3,4,2021,2025,3,NOT EFFICIENT + RUSHING
00-0039918,Caleb Williams,1,1,2,26.323529411764707,4.147058823529411,22.176470588235293,0.029260533179363207,16.61235294117647,1,6,2024,2025,3,NOT EFFICIENT + RUSHING
00-0027974,Colin Kaepernick,2,36,3,40.9375,9.125,30.272727272727273,0.03438258396759655,16.57375,1,9,2013,2016,3,NOT EFFICIENT + RUSHING
00-0035710,Daniel Jones,1,6,6,27.654545454545456,16.61038961038961,12.987012987012987,-0.03839492841008221,15.821118881118881,1,9,2019,2025,3,NOT EFFICIENT + RUSHING
00-0009311,Jon Kitna,,,1,15.4,3.4,12.0,0.06762086693859334,15.8,0,25,2010,2010,3,NOT EFFICIENT + RUSHING
00-0034855,Baker Mayfield,1,1,8,10.489495798319329,0.8928571428571428,9.808823529411764,0.05772719195738914,15.790367647058822,3,4,2018,2025,3,NOT EFFICIENT + RUSHING
00-0026993,Josh Freeman,1,17,3,16.466666666666665,2.3333333333333335,14.133333333333333,0.05064925488485805,15.681250000000002,1,7,2010,2012,3,NOT EFFICIENT + RUSHING
00-0031407,Blake Bortles,1,3,5,22.75,8.384615384615385,16.1875,-0.03294455119315221,15.673749999999998,2,4,2014,2018,3,NOT EFFICIENT + RUSHING
00-0033949,Joshua Dobbs,4,135,1,32.76923076923077,11.153846153846153,21.615384615384617,-0.11528223059781652,15.473846153846154,0,20,2023,2023,3,NOT EFFICIENT + RUSHING
00-0029701,Ryan Tannehill,1,8,10,14.65625,5.4889705882352935,8.264423076923077,0.030869965062883135,15.388786764705882,3,7,2012,2022,3,NOT EFFICIENT + RUSHING
00-0027876,Tim Tebow,1,25,1,51.0,31.923076923076923,19.076923076923077,-0.15779133745091356,15.343076923076922,0,18,2011,2011,3,NOT EFFICIENT + RUSHING
