rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,1,Amon-Ra St. Brown,DET,NYJ,1,18.388,18.388,8.677,18.625,31.532,0.52,"5th-highest implied total (27.5) against the worst pass defense in the league by EPA last year. They rank 5th of 32 against the pass through 2 games. Projected 12.4 targets, a 33% target share, 1.4 red-zone look, 84% of the snaps. Across 2 games he has averaged 13.5 targets a game, a 35% target share and 90% of the snaps. Range 9-32 around a median of 19, 52% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
2,3,Jaxon Smith-Njigba,SEA,WAS,0,17.899,15.674,11.124,17.187,30.3,0.41,"23.8-point implied total against 3rd-worst pass defense by EPA last year. They rank 25th of 32 against the pass through 2 games. Projected 10.5 targets, a 40% target share, 0.8 red-zone look, 84% of the snaps. Across 2 games he has averaged 11.0 targets a game, a 44% target share and 90% of the snaps. Range 11-30 around a median of 17, 41% shot at a top-12 week.",
3,6,Chris Olave,NO,LV,1,15.674,14.601,9.356,14.91,27.362,0.328,"23.8-point implied total against 10th-worst pass defense by EPA last year. They rank 20th of 32 against the pass through 2 games. Projected 10.9 targets, a 27% target share, 0.9 red-zone look, 79% of the snaps. Across 2 games he has averaged 11.5 targets a game, a 28% target share and 86% of the snaps. Range 9-27 around a median of 15, 33% shot at a top-12 week.",
4,8,DeVonta Smith,PHI,CHI,0,15.077,14.091,6.866,15.199,26.77,0.345,"23.0-point implied total against a mid-pack pass defense last year. They rank 16th of 32 against the pass through 2 games. Projected 8.5 targets, a 29% target share, 0.6 red-zone look, 91% of the snaps. Across 2 games he has averaged 9.5 targets a game, a 33% target share and 95% of the snaps. Range 7-27 around a median of 15, 34% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
5,5,CeeDee Lamb,DAL,BAL,1,14.835,14.835,7.144,14.657,26.968,0.316,"24.8-point implied total against 12th-worst pass defense by EPA last year. They rank 13th of 32 against the pass through 2 games. Projected 8.7 targets, a 25% target share, 76% of the snaps. Across 2 games he has averaged 8.5 targets a game, a 28% target share and 81% of the snaps. Range 7-27 around a median of 15, 32% shot at a top-12 week.",
6,4,Justin Jefferson,MIN,TB,0,14.601,15.077,6.636,13.715,26.72,0.302,"22.0-point implied total against a mid-pack pass defense last year. They rank 21st of 32 against the pass through 2 games. Projected 7.8 targets, a 33% target share, 0.7 red-zone look, 85% of the snaps. Across 2 games he has averaged 7.5 targets a game, a 35% target share and 92% of the snaps. Range 7-27 around a median of 14, 30% shot at a top-12 week.",
7,15,Parker Washington,JAX,NE,1,14.486,12.458,7.133,14.469,25.167,0.3,"24.2-point implied total against the 11th-best pass defense by EPA last year. They rank 4th of 32 against the pass through 2 games. Projected 8.1 targets, a 30% target share, 0.6 red-zone look, 61% of the snaps. Across 2 games he has averaged 9.0 targets a game, a 36% target share and 61% of the snaps. Range 7-25 around a median of 14, 30% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
8,17,Tetairoa McMillan,CAR,CLE,0,14.091,12.165,7.484,14.117,23.293,0.28,"22.5-point implied total against a top-4 pass defense by EPA last year. They rank 30th of 32 against the pass through 2 games. Projected 8.4 targets, a 26% target share, 0.6 red-zone look, 83% of the snaps. Across 2 games he has averaged 9.0 targets a game, a 27% target share and 82% of the snaps. Range 7-23 around a median of 14, 28% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
9,10,Christian Watson,GB,ATL,1,13.774,13.724,7.495,13.055,23.767,0.258,"Jayden Reed is out; his work is not yet priced in here. 6th-highest implied total (25.2) against a mid-pack pass defense last year. They rank 12th of 32 against the pass through 2 games. Projected 8.2 targets, a 24% target share, 72% of the snaps. Across 2 games he has averaged 9.5 targets a game, a 29% target share and 76% of the snaps. Range 7-24 around a median of 13, 26% shot at a top-12 week.",
10,7,George Pickens,DAL,BAL,1,13.724,14.486,6.639,13.009,25.732,0.252,"24.8-point implied total against 12th-worst pass defense by EPA last year. They rank 13th of 32 against the pass through 2 games. Projected 7.4 targets, a 22% target share, 0.8 red-zone look, 83% of the snaps. Across 2 games he has averaged 7.0 targets a game, a 23% target share and 84% of the snaps. Range 7-26 around a median of 13, 25% shot at a top-12 week.",
