rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,1,Trey McBride,ARI,SF,0,11.155,11.155,6.601,10.708,19.524,0.579,"19.5-point implied total against 8th-worst pass defense by EPA last year. They rank 11th of 32 against the pass through 2 games. Projected 11.0 targets, a 32% target share, 0.8 red-zone look, 84% of the snaps. Across 2 games he has averaged 11.5 targets a game, a 37% target share and 80% of the snaps. Range 7-20 around a median of 11, 58% shot at a top-12 week.",
2,9,Travis Kelce,KC,MIA,0,10.231,7.563,3.676,9.376,18.35,0.502,"Highest implied total (29.0) against 6th-worst pass defense by EPA last year. They rank 32nd of 32 against the pass through 2 games. Projected 7.5 targets, a 21% target share, 0.7 red-zone look, 68% of the snaps. Across 2 games he has averaged 8.0 targets a game, a 23% target share and 71% of the snaps. Range 4-18 around a median of 9, 50% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
3,15,Dalton Schultz,HOU,IND,0,9.795,6.964,5.335,9.44,17.814,0.487,"23.0-point implied total against a mid-pack pass defense last year. They rank 31st of 32 against the pass through 2 games. Projected 9.4 targets, a 22% target share, 68% of the snaps. Across 2 games he has averaged 11.0 targets a game, a 25% target share and 66% of the snaps. Range 5-18 around a median of 9, 49% shot at a top-12 week.",
4,12,Mark Andrews,BAL,DAL,0,9.785,7.212,3.546,9.017,18.755,0.481,"4th-highest implied total (27.8) against 2nd-worst pass defense by EPA last year. They rank 17th of 32 against the pass through 2 games. Projected 5.7 targets, a 21% target share, 0.9 red-zone look, 68% of the snaps. Across 2 games he has averaged 6.5 targets a game, a 25% target share and 72% of the snaps. Range 4-19 around a median of 9, 48% shot at a top-12 week. New HC.",
5,4,Dalton Kincaid,BUF,LAC,1,8.962,9.785,3.437,8.344,17.221,0.454,"2nd-highest implied total (28.8) against the 9th-best pass defense by EPA last year. They rank 23rd of 32 against the pass through 2 games. Projected 6.0 targets, a 20% target share, 61% of the snaps. Across 2 games he has averaged 7.0 targets a game, a 25% target share and 72% of the snaps. Range 3-17 around a median of 8, 45% shot at a top-12 week.",
6,5,Sam LaPorta,DET,NYJ,1,8.726,8.962,3.724,8.547,16.608,0.437,"5th-highest implied total (27.5) against the worst pass defense in the league by EPA last year. They rank 5th of 32 against the pass through 2 games. Projected 6.8 targets, a 17% target share, 83% of the snaps. Across 2 games he has averaged 7.5 targets a game, a 20% target share and 81% of the snaps. Range 4-17 around a median of 9, 44% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
7,3,Tyler Warren,IND,HOU,1,8.473,9.795,3.86,8.654,15.034,0.403,"20.5-point implied total against the best pass defense in the league by EPA last year. They rank 24th of 32 against the pass through 2 games. Projected 6.2 targets, a 20% target share, 0.7 red-zone look, 86% of the snaps. Across 2 games he has averaged 6.0 targets a game, a 20% target share and 93% of the snaps. Range 4-15 around a median of 9, 40% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
8,8,Isaiah Likely,NYG,TEN,1,8.132,8.132,4.363,6.811,15.144,0.354,"21.8-point implied total against 4th-worst pass defense by EPA last year. They rank 26th of 32 against the pass through 2 games. Projected 7.1 targets, a 23% target share, 52% of the snaps. Across 2 games he has averaged 9.0 targets a game, a 29% target share and 49% of the snaps. Range 4-15 around a median of 7, 35% shot at a top-12 week. New HC. New team.",
9,11,George Kittle,SF,ARI,1,7.563,7.328,2.224,6.39,16.715,0.354,"3rd-highest implied total (28.0) against 7th-worst pass defense by EPA last year. They rank 28th of 32 against the pass through 2 games. Projected 5.1 targets, a 15% target share, 52% of the snaps. Across 2 games he has averaged 4.5 targets a game, a 17% target share and 46% of the snaps. Range 2-17 around a median of 6, 35% shot at a top-12 week.",
10,23,Cade Otton,TB,MIN,1,7.377,5.607,3.246,6.836,15.105,0.292,"20.5-point implied total against a top-2 pass defense by EPA last year. They rank 18th of 32 against the pass through 2 games. Projected 5.5 targets, a 17% target share, 96% of the snaps. Across 2 games he has averaged 5.5 targets a game, an 18% target share and 98% of the snaps. Range 3-15 around a median of 7, 29% shot at a top-12 week.",
