rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,1,Amon-Ra St. Brown,DET,NYJ,1,14.957,14.957,7.039,13.879,28.133,0.445,"5th-highest implied total (27.5) against the worst pass defense in the league by EPA last year. They rank 5th of 32 against the pass through 2 games. Projected 12.4 targets, a 33% target share, 1.4 red-zone look, 84% of the snaps. Across 2 games he has averaged 13.5 targets a game, a 35% target share and 90% of the snaps. Range 7-28 around a median of 14, 44% shot at a top-12 week.",
2,3,Jaxon Smith-Njigba,SEA,WAS,0,14.58,12.729,8.059,14.47,25.687,0.431,"23.8-point implied total against 3rd-worst pass defense by EPA last year. They rank 25th of 32 against the pass through 2 games. Projected 10.5 targets, a 40% target share, 0.8 red-zone look, 84% of the snaps. Across 2 games he has averaged 11.0 targets a game, a 44% target share and 90% of the snaps. Range 8-26 around a median of 14, 43% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
3,6,Chris Olave,NO,LV,1,12.729,12.076,6.599,12.382,22.485,0.307,"23.8-point implied total against 10th-worst pass defense by EPA last year. They rank 20th of 32 against the pass through 2 games. Projected 10.9 targets, a 27% target share, 0.9 red-zone look, 79% of the snaps. Across 2 games he has averaged 11.5 targets a game, a 28% target share and 86% of the snaps. Range 7-22 around a median of 12, 31% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
4,8,DeVonta Smith,PHI,CHI,0,12.399,11.391,4.988,12.092,22.658,0.354,"23.0-point implied total against a mid-pack pass defense last year. They rank 16th of 32 against the pass through 2 games. Projected 8.5 targets, a 29% target share, 0.6 red-zone look, 91% of the snaps. Across 2 games he has averaged 9.5 targets a game, a 33% target share and 95% of the snaps. Range 5-23 around a median of 12, 35% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
5,4,Justin Jefferson,MIN,TB,0,12.083,12.399,5.779,11.433,22.778,0.288,"22.0-point implied total against a mid-pack pass defense last year. They rank 21st of 32 against the pass through 2 games. Projected 7.8 targets, a 33% target share, 0.7 red-zone look, 85% of the snaps. Across 2 games he has averaged 7.5 targets a game, a 35% target share and 92% of the snaps. Range 6-23 around a median of 11, 29% shot at a top-12 week.",
6,5,CeeDee Lamb,DAL,BAL,1,12.076,12.083,5.842,11.311,22.24,0.299,"24.8-point implied total against 12th-worst pass defense by EPA last year. They rank 13th of 32 against the pass through 2 games. Projected 8.7 targets, a 25% target share, 76% of the snaps. Across 2 games he has averaged 8.5 targets a game, a 28% target share and 81% of the snaps. Range 6-22 around a median of 11, 30% shot at a top-12 week.",
7,15,Parker Washington,JAX,NE,1,11.739,10.198,5.031,10.61,22.489,0.296,"24.2-point implied total against the 11th-best pass defense by EPA last year. They rank 4th of 32 against the pass through 2 games. Projected 8.1 targets, a 30% target share, 0.6 red-zone look, 61% of the snaps. Across 2 games he has averaged 9.0 targets a game, a 36% target share and 61% of the snaps. Range 5-22 around a median of 11, 30% shot at a top-12 week.",
8,17,Tetairoa McMillan,CAR,CLE,0,11.391,10.047,5.665,10.385,21.582,0.261,"22.5-point implied total against a top-4 pass defense by EPA last year. They rank 30th of 32 against the pass through 2 games. Projected 8.4 targets, a 26% target share, 0.6 red-zone look, 83% of the snaps. Across 2 games he has averaged 9.0 targets a game, a 27% target share and 82% of the snaps. Range 6-22 around a median of 10, 26% shot at a top-12 week.",
9,7,George Pickens,DAL,BAL,1,11.36,11.739,4.867,10.568,22.454,0.256,"24.8-point implied total against 12th-worst pass defense by EPA last year. They rank 13th of 32 against the pass through 2 games. Projected 7.4 targets, a 22% target share, 0.8 red-zone look, 83% of the snaps. Across 2 games he has averaged 7.0 targets a game, a 23% target share and 84% of the snaps. Range 5-22 around a median of 11, 26% shot at a top-12 week.",
10,10,Christian Watson,GB,ATL,1,11.258,11.258,5.327,10.481,20.485,0.26,"Jayden Reed is out; his work is not yet priced in here. 6th-highest implied total (25.2) against a mid-pack pass defense last year. They rank 12th of 32 against the pass through 2 games. Projected 8.2 targets, a 24% target share, 72% of the snaps. Across 2 games he has averaged 9.5 targets a game, a 29% target share and 76% of the snaps. Range 5-20 around a median of 10, 26% shot at a top-12 week.",
11,2,Ja'Marr Chase,CIN,PIT,0,11.148,14.58,4.937,10.603,21.118,0.259,"23.0-point implied total against a mid-pack pass defense last year. They rank 19th of 32 against the pass through 2 games. Projected 8.2 targets, a 23% target share, 0.8 red-zone look, 87% of the snaps. Across 2 games he has averaged 6.5 targets a game, a 20% target share and 94% of the snaps. Range 5-21 around a median of 11, 26% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
12,30,Matthew Golden,GB,ATL,1,10.517,8.741,4.796,9.473,20.434,0.23,"Jayden Reed is out; his work is not yet priced in here. 6th-highest implied total (25.2) against a mid-pack pass defense last year. They rank 12th of 32 against the pass through 2 games. Projected 7.0 targets, a 21% target share, 74% of the snaps. Across 2 games he has averaged 9.0 targets a game, a 25% target share and 82% of the snaps. Range 5-20 around a median of 9, 23% shot at a top-12 week.",
13,27,DK Metcalf,PIT,CIN,1,10.322,9.069,4.831,9.172,19.782,0.221,"Michael Pittman is out; his work is not yet priced in here. 19.5-point implied total against 5th-worst pass defense by EPA last year. They rank 2nd of 32 against the pass through 2 games. Projected 8.5 targets, a 23% target share, 87% of the snaps. Across 2 games he has averaged 9.5 targets a game, a 26% target share and 96% of the snaps. Range 5-20 around a median of 9, 22% shot at a top-12 week. New HC.",
14,9,Garrett Wilson,NYJ,DET,0,10.248,11.36,4.182,9.345,20.196,0.206,"21.0-point implied total against a mid-pack pass defense last year. They rank 27th of 32 against the pass through 2 games. Projected 7.5 targets, a 21% target share, 78% of the snaps. Across 2 games he has averaged 7.0 targets a game, a 25% target share and 75% of the snaps. Range 4-20 around a median of 9, 21% shot at a top-12 week.",
