rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,1,Josh Allen,BUF,LAC,1,24.947,24.947,16.842,26.069,36.643,0.646,"2nd-highest implied total (28.8) against the 9th-best pass defense by EPA last year. They rank 23rd of 32 against the pass through 2 games. Projected 30 attempts for 228 yards, plus 9.0 carries of his own, 0.6 goal-line rush. Across 2 games he has averaged 30.0 attempts a game, 10.0 carries a game and 100% of the snaps. Range 17-37 around a median of 26, 65% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
2,11,Patrick Mahomes,KC,MIA,0,22.443,18.926,15.821,22.057,33.681,0.54,"Highest implied total (29.0) against 6th-worst pass defense by EPA last year. They rank 32nd of 32 against the pass through 2 games. Projected 37 attempts for 260 yards, plus 4.5 carries of his own. Across 2 games he has averaged 37.0 attempts a game, 4.5 carries a game and 100% of the snaps. Range 16-34 around a median of 22, 54% shot at a top-12 week.",
3,2,Lamar Jackson,BAL,DAL,0,21.94,22.443,13.867,21.558,33.772,0.497,"4th-highest implied total (27.8) against 2nd-worst pass defense by EPA last year. They rank 17th of 32 against the pass through 2 games. Projected 26 attempts for 209 yards, plus 5.4 carries of his own. Across 2 games he has averaged 28.0 attempts a game, 5.5 carries a game and 100% of the snaps. Range 14-34 around a median of 22, 50% shot at a top-12 week. New HC.",
4,10,Jared Goff,DET,NYJ,1,21.119,18.967,12.95,20.401,34.768,0.45,"5th-highest implied total (27.5) against the worst pass defense in the league by EPA last year. They rank 5th of 32 against the pass through 2 games. Projected 37 attempts for 285 yards, 2.0 carries of his own. Across 2 games he has averaged 38.5 attempts a game, 2.5 carries a game and 100% of the snaps. Range 13-35 around a median of 20, 45% shot at a top-12 week.",
5,5,Brock Purdy,SF,ARI,1,21.005,21.005,12.858,21.764,32.13,0.505,"3rd-highest implied total (28.0) against 7th-worst pass defense by EPA last year. They rank 28th of 32 against the pass through 2 games. Projected 29 attempts for 216 yards, 3.9 carries of his own. Across 2 games he has averaged 28.0 attempts a game, 4.0 carries a game and 100% of the snaps. Range 13-32 around a median of 22, 50% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
6,4,Dak Prescott,DAL,BAL,1,20.982,21.119,12.178,20.733,34.962,0.448,"24.8-point implied total against 12th-worst pass defense by EPA last year. They rank 13th of 32 against the pass through 2 games. Projected 33 attempts for 249 yards, 3.0 carries of his own. Across 2 games he has averaged 32.5 attempts a game, 3.0 carries a game and 100% of the snaps. Range 12-35 around a median of 21, 45% shot at a top-12 week.",
7,16,Tyler Shough,NO,LV,1,20.679,18.285,13.643,20.492,33.868,0.453,"23.8-point implied total against 10th-worst pass defense by EPA last year. They rank 20th of 32 against the pass through 2 games. Projected 40 attempts for 287 yards, plus 5.7 carries of his own. Across 2 games he has averaged 45.0 attempts a game, 6.5 carries a game and 100% of the snaps. Range 14-34 around a median of 20, 45% shot at a top-12 week.",
8,3,Jalen Hurts,PHI,CHI,0,20.281,21.94,12.767,20.929,32.986,0.463,"23.0-point implied total against a mid-pack pass defense last year. They rank 16th of 32 against the pass through 2 games. Projected 30 attempts for 213 yards, plus 6.2 carries of his own, 0.5 goal-line rushes. Across 2 games he has averaged 31.0 attempts a game, 6.0 carries a game and 100% of the snaps. Range 13-33 around a median of 21, 46% shot at a top-12 week.",
9,13,Jordan Love,GB,ATL,1,19.204,18.769,11.051,19.792,30.129,0.409,"6th-highest implied total (25.2) against a mid-pack pass defense last year. They rank 12th of 32 against the pass through 2 games. Projected 33 attempts for 251 yards. Across 2 games he has averaged 35.5 attempts a game, 0.5 carries a game and 100% of the snaps. Range 11-30 around a median of 20, 41% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
10,12,Matthew Stafford,LA,DEN,0,18.967,18.834,10.97,19.55,30.837,0.394,"24.0-point implied total against a top-5 pass defense by EPA last year. They rank 14th of 32 against the pass through 2 games. Projected 30 attempts for 233 yards, 2.6 carries of his own. Across 2 games he has averaged 28.0 attempts a game, 3.0 carries a game and 84% of the snaps. Range 11-31 around a median of 20, 39% shot at a top-12 week.",
11,28,Deshaun Watson,CLE,CAR,1,18.926,12.501,10.793,18.739,28.721,0.4,"20.0-point implied total against 9th-worst pass defense by EPA last year. They rank 7th of 32 against the pass through 2 games. Projected 26 attempts for 0 yards, plus 6.5 carries of his own. Across 2 games he has averaged 26.0 attempts a game, 6.5 carries a game and 100% of the snaps. Range 11-29 around a median of 19, 40% shot at a top-12 week. New HC.",
12,9,Drake Maye,NE,JAX,0,18.834,19.204,11.888,17.928,32.358,0.353,"21.2-point implied total against a top-3 pass defense by EPA last year. They rank 1st of 32 against the pass through 2 games. Projected 28 attempts for 236 yards, plus 5.7 carries of his own. Across 2 games he has averaged 27.5 attempts a game, 5.5 carries a game and 100% of the snaps. Range 12-32 around a median of 18, 35% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
13,15,Bo Nix,DEN,LA,1,18.769,18.502,10.72,16.901,32.68,0.349,"21.5-point implied total against the 10th-best pass defense by EPA last year. They rank 6th of 32 against the pass through 2 games. Projected 32 attempts for 208 yards, plus 4.3 carries of his own. Across 2 games he has averaged 29.5 attempts a game, 4.0 carries a game and 100% of the snaps. Range 11-33 around a median of 17, 35% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
14,6,Justin Herbert,LAC,BUF,0,18.631,20.982,9.94,17.79,32.805,0.357,"21.8-point implied total against the 7th-best pass defense by EPA last year. They rank 3rd of 32 against the pass through 2 games. Projected 29 attempts for 207 yards, plus 4.4 carries of his own. Across 2 games he has averaged 27.0 attempts a game, 4.0 carries a game and 100% of the snaps. Range 10-33 around a median of 18, 36% shot at a top-12 week.",
15,8,Trevor Lawrence,JAX,NE,1,18.502,20.281,10.398,19.206,30.143,0.371,"24.2-point implied total against the 11th-best pass defense by EPA last year. They rank 4th of 32 against the pass through 2 games. Projected 28 attempts for 202 yards, 2.9 carries of his own, 0.4 goal-line rushes. Across 2 games he has averaged 26.0 attempts a game, 2.0 carries a game and 88% of the snaps. Range 10-30 around a median of 19, 37% shot at a top-12 week.",
16,23,Geno Smith,NYJ,DET,0,18.285,16.615,9.045,17.503,32.696,0.362,"21.0-point implied total against a mid-pack pass defense last year. They rank 27th of 32 against the pass through 2 games. Projected 32 attempts for 216 yards, plus 4.6 carries of his own. Across 2 games he has averaged 32.5 attempts a game, 5.5 carries a game and 100% of the snaps. Range 9-33 around a median of 18, 36% shot at a top-12 week. New team.",
17,14,Baker Mayfield,TB,MIN,1,18.232,18.631,10.058,17.33,30.436,0.366,"20.5-point implied total against a top-2 pass defense by EPA last year. They rank 18th of 32 against the pass through 2 games. Projected 31 attempts for 215 yards, plus 4.1 carries of his own. Across 2 games he has averaged 31.0 attempts a game, 4.5 carries a game and 100% of the snaps. Range 10-30 around a median of 17, 37% shot at a top-12 week.",
18,17,C.J. Stroud,HOU,IND,0,17.84,18.232,10.821,17.723,31.276,0.278,"23.0-point implied total against a mid-pack pass defense last year. They rank 31st of 32 against the pass through 2 games. Projected 41 attempts for 293 yards, 2.8 carries of his own. Across 2 games he has averaged 46.5 attempts a game, 2.5 carries a game and 100% of the snaps. Range 11-31 around a median of 18, 28% shot at a top-12 week.",
19,18,Bryce Young,CAR,CLE,0,17.511,17.84,9.804,17.21,30.468,0.294,"22.5-point implied total against a top-4 pass defense by EPA last year. They rank 30th of 32 against the pass through 2 games. Projected 34 attempts for 223 yards, 2.1 carries of his own. Across 2 games he has averaged 36.5 attempts a game, 1.5 carries a game and 90% of the snaps. Range 10-30 around a median of 17, 29% shot at a top-12 week.",
20,7,Joe Burrow,CIN,PIT,0,17.493,20.679,10.205,17.568,30.154,0.289,"23.0-point implied total against a mid-pack pass defense last year. They rank 19th of 32 against the pass through 2 games. Projected 33 attempts for 230 yards, 2.6 carries of his own. Across 2 games he has averaged 33.0 attempts a game, 3.0 carries a game and 100% of the snaps. Range 10-30 around a median of 18, 29% shot at a top-12 week.",
21,24,Aaron Rodgers,PIT,CIN,1,17.156,16.578,10.119,17.278,29.685,0.245,"19.5-point implied total against 5th-worst pass defense by EPA last year. They rank 2nd of 32 against the pass through 2 games. Projected 37 attempts for 248 yards. Across 2 games he has averaged 39.5 attempts a game, 2.0 carries a game and 100% of the snaps. Range 10-30 around a median of 17, 24% shot at a top-12 week. New HC.",
22,25,Kirk Cousins,LV,NO,0,16.673,15.9,8.45,16.746,29.239,0.27,"20.8-point implied total against the 12th-best pass defense by EPA last year. They rank 22nd of 32 against the pass through 2 games. Projected 29 attempts for 190 yards, 3.5 carries of his own. Across 2 games he has averaged 29.5 attempts a game, 4.5 carries a game and 100% of the snaps. Range 8-29 around a median of 17, 27% shot at a top-12 week. New HC. New team.",
23,21,Daniel Jones,IND,HOU,1,16.615,17.156,8.673,16.54,28.346,0.281,"20.5-point implied total against the best pass defense in the league by EPA last year. They rank 24th of 32 against the pass through 2 games. Projected 31 attempts for 236 yards, 2.5 carries of his own. Across 2 games he has averaged 31.0 attempts a game, 2.0 carries a game and 100% of the snaps. Range 9-28 around a median of 17, 28% shot at a top-12 week.",
24,22,Jacoby Brissett,ARI,SF,0,16.578,16.673,8.885,17.159,28.98,0.25,"19.5-point implied total against 8th-worst pass defense by EPA last year. They rank 11th of 32 against the pass through 2 games. Projected 33 attempts for 231 yards, 3.2 carries of his own. Across 2 games he has averaged 32.5 attempts a game, 3.5 carries a game and 100% of the snaps. Range 9-29 around a median of 17, 25% shot at a top-12 week.",
25,27,Cam Ward,TEN,NYG,0,15.9,13.574,7.513,16.547,28.568,0.252,"4th-lowest implied total (18.8) against a mid-pack pass defense last year. They rank 29th of 32 against the pass through 2 games. Projected 28 attempts for 172 yards, 3.4 carries of his own. Across 2 games he has averaged 26.0 attempts a game, 4.0 carries a game and 100% of the snaps. Range 8-29 around a median of 17, 25% shot at a top-12 week. New HC.",
26,19,Malik Willis,MIA,KC,1,13.936,17.511,4.367,14.259,25.99,0.234,"2nd-lowest implied total (17.5) against a mid-pack pass defense last year. They rank 15th of 32 against the pass through 2 games. Projected 20 attempts for 154 yards, plus 4.5 carries of his own. Across 2 games he has averaged 25.0 attempts a game, 4.0 carries a game and 100% of the snaps. Range 4-26 around a median of 14, 23% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New HC. New team.",
27,20,Carson Wentz,MIN,TB,0,13.574,17.493,4.886,14.471,26.82,0.202,"Kyler Murray is out; his work is not yet priced in here. 22.0-point implied total against a mid-pack pass defense last year. They rank 21st of 32 against the pass through 2 games. Projected 24 attempts for 172 yards, 3.4 carries of his own. Across 2 games he has averaged 19.5 attempts a game, 4.0 carries a game and 83% of the snaps. Range 5-27 around a median of 14, 20% shot at a top-12 week.",
28,31,Jameis Winston,NYG,TEN,1,12.501,8.729,6.265,12.542,25.871,0.168,"Jaxson Dart is out; his work is not yet priced in here. 21.8-point implied total against 4th-worst pass defense by EPA last year. They rank 26th of 32 against the pass through 2 games. Projected 24 attempts for 182 yards, 2.2 carries of his own. In his one game this season he had 27 attempts and 2 carries. Range 6-26 around a median of 13, 17% shot at a top-12 week. New HC.",
29,30,Marcus Mariota,WAS,SEA,1,10.687,10.262,4.149,9.793,22.438,0.112,"Jayden Daniels is out; his work is not yet priced in here. 1st-lowest implied total (16.8) against the 6th-best pass defense by EPA last year. They rank 9th of 32 against the pass through 2 games. Projected 19 attempts for 141 yards, 3.0 carries of his own. In his one game this season he had 16 attempts and 1 carry. Range 4-22 around a median of 10, 11% shot at a top-12 week.",
30,29,Cooper Rush,ATL,GB,0,10.262,10.687,2.734,9.811,21.455,0.087,"5th-lowest implied total (19.2) against 11th-worst pass defense by EPA last year. They rank 10th of 32 against the pass through 2 games. Projected 17 attempts for 117 yards. Across 2 games he has averaged 19.5 attempts a game, 1.0 carries a game and 100% of the snaps. Range 3-21 around a median of 10, 9% shot at a top-12 week. New team.",
31,26,Drew Lock,SEA,WAS,0,8.729,13.936,0.0,6.727,22.761,0.106,"Sam Darnold is out; his work is not yet priced in here. 23.8-point implied total against 3rd-worst pass defense by EPA last year. They rank 25th of 32 against the pass through 2 games. Projected 16 attempts for 114 yards. Across 2 games he has averaged 24.0 attempts a game, 1.0 carries a game and 90% of the snaps. Range 0-23 around a median of 7, 11% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
