seed,position,scoring,season,spearman,top12_overlap,regret@12,mae,mean_abs_rank_err
2024,QB,qb_4pt,2019,0.4965570510314542,0.5,6.346666666666664,6.487326108743267,8.38888888888889
2024,QB,qb_4pt,2020,0.6250645864432401,0.6666666666666666,3.0333333333333363,5.108010691344685,6.833333333333333
2024,QB,qb_4pt,2021,0.4202329630942711,0.4166666666666667,6.388333333333335,6.360252335972529,9.27777777777778
2024,QB,qb_4pt,2022,0.5671987829601834,0.5833333333333334,3.3883333333333354,4.961814034775103,6.888888888888889
2024,QB,qb_4pt,2023,0.2260701758547738,0.3333333333333333,7.446666666666668,6.732802682647892,10.22222222222222
2024,QB,qb_4pt,2024,0.5998713413606558,0.5,5.984999999999999,4.959797120384526,7.388888888888889
2024,QB,qb_4pt,2025,0.4251750018351819,0.5,8.933333333333335,9.04584739841095,8.61111111111111
2024,QB,qb_6pt,2019,0.1418366693200266,0.3333333333333333,13.948333333333338,9.276415493858682,11.0
2024,QB,qb_6pt,2020,0.6572256536096928,0.5833333333333334,3.371666666666665,6.195031995846821,6.666666666666667
2024,QB,qb_6pt,2021,0.4336186378758344,0.3333333333333333,9.97,8.325662111576968,9.11111111111111
2024,QB,qb_6pt,2022,0.5717780779288687,0.5833333333333334,4.171666666666667,5.852431292711361,6.888888888888889
2024,QB,qb_6pt,2023,0.2203913564293767,0.3333333333333333,9.78,8.167696001947489,10.38888888888889
2024,QB,qb_6pt,2024,0.565872622142276,0.5,6.349999999999999,6.084432413738959,7.611111111111111
2024,QB,qb_6pt,2025,0.5759030829012206,0.5,8.66666666666667,9.567195183030798,7.888888888888889
2024,RB,half_ppr,2019,0.5102000462228361,0.5,8.399999999999997,6.284117586218415,13.933333333333334
2024,RB,half_ppr,2020,0.3994886925140278,0.5,7.391666666666673,5.223785143456788,15.133333333333333
2024,RB,half_ppr,2021,0.526056912764934,0.5,6.25,4.820760139585223,12.533333333333331
2024,RB,half_ppr,2022,0.5597533585679225,0.1666666666666666,8.983333333333333,5.040740555368045,13.066666666666666
2024,RB,half_ppr,2023,0.3905883281954206,0.4166666666666667,6.18333333333333,4.89373963354051,14.633333333333333
2024,RB,half_ppr,2024,0.5465484735825853,0.3333333333333333,4.19166666666667,4.902079163996959,12.7
2024,RB,half_ppr,2025,0.7753663444763195,0.5833333333333334,1.7916666666666667,3.83837671392336,9.166666666666666
2024,RB,ppr,2019,0.4900026849365379,0.3333333333333333,9.725,6.9249960037250125,14.233333333333333
2024,RB,ppr,2020,0.4584305886816956,0.5,7.425000000000007,5.54758352705611,14.3
