seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared,variant
101,QB,qb_4pt,2022,model,8.0,17.0,33.0,238.94,3.5066666666666655,9.5,1.0,0.7050262284850503,45,weeks1_6
101,QB,qb_4pt,2023,model,5.0,18.0,32.0,161.1,6.44666666666667,17.5,2.0,0.5840720877777904,45,weeks1_6
101,QB,qb_4pt,2024,model,8.0,20.0,32.0,230.16000000000003,2.8683333333333345,9.0,0.0,0.8506629261338935,50,weeks1_6
101,QB,qb_4pt,2025,model,6.0,18.0,32.0,239.17999999999995,7.070000000000003,12.0,0.0,0.7305511910379837,45,weeks1_6
101,RB,ppr,2021,model,6.0,15.0,24.0,185.50000000000003,5.841666666666664,13.0,1.0,0.624955994265368,48,weeks1_6
101,RB,ppr,2022,model,4.0,15.0,25.0,196.20000000000002,6.866666666666667,19.0,0.0,0.6021581361141936,47,weeks1_6
101,RB,ppr,2023,model,5.0,11.0,26.0,177.00000000000003,6.058333333333333,20.0,1.0,0.3589800264422675,48,weeks1_6
101,RB,ppr,2024,model,4.0,15.0,28.0,193.60000000000002,6.041666666666667,15.5,2.0,0.22501960186439232,41,weeks1_6
101,RB,ppr,2025,model,6.0,19.0,27.0,210.60000000000002,2.3916666666666657,12.0,0.0,0.5748156833077693,47,weeks1_6
101,TE,ppr,2021,model,7.0,13.0,26.0,156.5,4.24166666666667,9.5,1.0,0.4825613356105792,49,weeks1_6
101,TE,ppr,2022,model,4.0,14.0,23.0,93.29999999999998,5.916666666666669,24.5,6.0,0.48259566147006505,47,weeks1_6
101,TE,ppr,2023,model,3.0,11.0,24.0,58.099999999999994,5.583333333333335,27.0,7.0,0.2378470340352019,46,weeks1_6
101,TE,ppr,2024,model,6.0,12.0,24.0,71.0,5.133333333333333,13.5,5.0,0.3822495936351832,48,weeks1_6
101,TE,ppr,2025,model,6.0,15.0,27.0,125.00000000000001,3.1999999999999993,12.5,2.0,0.5935882492520415,44,weeks1_6
101,WR,ppr,2021,model,4.0,10.0,21.0,213.74,10.22166666666667,30.0,0.0,0.27672992055540613,49,weeks1_6
101,WR,ppr,2022,model,6.0,11.0,19.0,246.10000000000002,5.73333333333333,12.0,1.0,0.41363756755632886,47,weeks1_6
101,WR,ppr,2023,model,3.0,12.0,20.0,204.49999999999997,8.341666666666676,22.0,0.0,0.37750397621534115,42,weeks1_6
101,WR,ppr,2024,model,2.0,12.0,18.0,143.0,12.549999999999997,39.0,3.0,0.4002718317497643,43,weeks1_6
101,WR,ppr,2025,model,1.0,10.0,18.0,132.3,11.241666666666669,36.0,2.0,0.1369892850347584,48,weeks1_6
101,QB,qb_4pt,2021,consensus,7.0,16.0,33.0,265.66,5.344999999999999,8.5,1.0,0.638395904052868,45,consensus
101,QB,qb_4pt,2022,consensus,7.0,17.0,31.0,223.82000000000002,4.766666666666663,10.0,1.0,0.6887217808255501,45,consensus
101,QB,qb_4pt,2023,consensus,5.0,19.0,32.0,162.54000000000002,6.326666666666668,17.5,2.0,0.5855352608512487,45,consensus
101,QB,qb_4pt,2024,consensus,8.0,19.0,33.0,221.20000000000005,3.6149999999999998,10.5,0.0,0.8097477015678513,50,consensus
101,QB,qb_4pt,2025,consensus,6.0,18.0,32.0,249.22000000000003,6.23333333333333,12.0,0.0,0.7036945449282702,43,consensus
101,RB,ppr,2021,consensus,5.0,14.0,24.0,159.8,7.983333333333332,26.5,2.0,0.5319680597715958,46,consensus
101,RB,ppr,2022,consensus,4.0,11.0,23.0,202.29999999999998,6.358333333333337,19.0,0.0,0.3615387279022579,46,consensus
101,RB,ppr,2023,consensus,5.0,14.0,28.0,182.30000000000004,5.6166666666666645,13.5,0.0,0.5784743957648886,48,consensus
101,RB,ppr,2024,consensus,2.0,16.0,27.0,183.9,6.850000000000001,20.5,1.0,0.30673403722978143,41,consensus
101,RB,ppr,2025,consensus,5.0,17.0,32.0,207.00000000000003,2.691666666666665,14.0,0.0,0.6830321399036169,46,consensus
101,TE,ppr,2021,consensus,8.0,14.0,26.0,154.70000000000002,4.391666666666668,8.5,2.0,0.5207120632879855,46,consensus
101,TE,ppr,2022,consensus,6.0,14.0,21.0,107.5,4.733333333333334,12.0,4.0,0.44825067345463865,46,consensus
101,TE,ppr,2023,consensus,2.0,13.0,24.0,61.3,5.316666666666667,24.0,6.0,0.2761112735143569,46,consensus
