seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared
17,RB,half_ppr,2025,model,8.0,18.0,26.0,199.20000000000002,1.6166666666666647,9.5,0.0,0.6746459598546969,49
17,RB,half_ppr,2025,consensus,5.0,16.0,32.0,184.00000000000003,2.8833333333333306,15.5,0.0,0.6934796986341177,49
17,RB,half_ppr,2025,prior_ppg,5.0,16.0,22.0,165.00000000000003,4.466666666666664,15.5,2.0,0.42295126787163334,41
17,RB,ppr,2021,model,5.0,15.0,26.0,171.10000000000002,7.041666666666664,13.5,2.0,0.5974203473467495,48
17,RB,ppr,2021,consensus,5.0,14.0,24.0,159.8,7.983333333333332,26.5,2.0,0.4894673648292686,46
17,RB,ppr,2021,prior_ppg,7.0,13.0,24.0,184.7,5.908333333333334,10.5,2.0,0.42576145941246785,44
17,RB,ppr,2022,model,4.0,15.0,25.0,181.3,8.108333333333334,19.5,0.0,0.5378955563747462,48
17,RB,ppr,2022,consensus,4.0,11.0,23.0,202.29999999999998,6.358333333333337,19.0,0.0,0.3299690796824306,47
17,RB,ppr,2022,prior_ppg,3.0,13.0,22.0,190.10000000000002,7.375,18.5,0.0,0.25656575472420595,44
17,RB,ppr,2023,model,4.0,11.0,25.0,152.0,8.141666666666667,28.5,2.0,0.3809939925455142,48
17,RB,ppr,2023,consensus,5.0,14.0,28.0,182.30000000000004,5.6166666666666645,13.5,0.0,0.6008859902397093,48
17,RB,ppr,2023,prior_ppg,6.0,11.0,21.0,203.10000000000002,3.883333333333333,12.0,0.0,0.24848365509044743,44
17,RB,ppr,2024,model,4.0,15.0,27.0,213.00000000000003,4.425,15.5,1.0,0.33711507404047364,42
17,RB,ppr,2024,consensus,2.0,16.0,27.0,183.9,6.850000000000001,20.5,1.0,0.38662885054016816,42
17,RB,ppr,2024,prior_ppg,4.0,16.0,28.0,198.3,5.650000000000001,15.5,2.0,0.46515397235392275,42
17,RB,ppr,2025,model,8.0,17.0,27.0,223.50000000000003,1.5583333333333325,10.0,0.0,0.713399891247703,49
17,RB,ppr,2025,consensus,5.0,16.0,34.0,207.00000000000003,2.9333333333333322,15.0,0.0,0.7274351588176785,49
17,RB,ppr,2025,prior_ppg,5.0,17.0,24.0,184.50000000000003,4.808333333333333,16.5,1.0,0.45621679697459044,41
17,TE,half_ppr,2021,model,7.0,14.0,23.0,124.4,4.258333333333333,9.5,4.0,0.49814132498017133,51
17,TE,half_ppr,2021,consensus,8.0,14.0,26.0,127.2,4.0249999999999995,8.5,3.0,0.6030893947025581,46
17,TE,half_ppr,2021,prior_ppg,7.0,12.0,23.0,121.9,4.466666666666666,9.0,5.0,0.3732667981749578,45
17,TE,half_ppr,2022,model,4.0,12.0,22.0,62.60000000000001,6.425000000000001,33.5,7.0,0.32808110607956154,46
17,TE,half_ppr,2022,consensus,7.0,13.0,21.0,87.00000000000001,4.391666666666667,11.5,4.0,0.4190766261603054,45
17,TE,half_ppr,2022,prior_ppg,6.0,12.0,21.0,86.00000000000001,4.4750000000000005,15.5,4.0,0.2916495764852509,44
17,TE,half_ppr,2023,model,4.0,11.0,22.0,48.699999999999996,4.275000000000001,22.0,6.0,0.3282265924620723,45
17,TE,half_ppr,2023,consensus,4.0,13.0,24.0,46.8,4.4333333333333345,23.5,6.0,0.3929670089359414,45
17,TE,half_ppr,2023,prior_ppg,4.0,10.0,22.0,46.49999999999999,4.458333333333335,23.5,6.0,0.2699134239273591,41
17,TE,half_ppr,2024,model,5.0,13.0,25.0,53.5,4.475000000000001,13.5,6.0,0.4397443284927195,50
