seed,position,scoring,season,source,n,spearman,kendall,ndcg@12,top12_overlap,regret@12,mae,rmse
17,QB,qb_4pt,2021,model,33.0,0.4746385911114852,0.3507110580225676,0.7257546635062557,0.5,6.461666666666669,6.743649072376013,8.08949950083141
17,QB,qb_4pt,2021,consensus,33.0,0.4306843835543301,0.3127963490471549,0.8157944580317523,0.5833333333333334,5.344999999999999,36.03939393939394,37.76494879614902
17,QB,qb_4pt,2021,prior_ppg,33.0,0.0222277931752913,0.0132701481413944,0.6945269953669166,0.5,7.675000000000002,9.4351691927601,11.634967619669856
17,QB,qb_4pt,2022,model,35.0,0.5319700272167314,0.383515694934065,0.8187874118432258,0.5833333333333334,3.3883333333333354,4.913767166455471,6.5964698787245695
17,QB,qb_4pt,2022,consensus,35.0,0.391203866776285,0.2724979937689409,0.8411042988830414,0.5833333333333334,4.766666666666663,34.513714285714286,36.08372787203197
17,QB,qb_4pt,2022,prior_ppg,35.0,0.407171371542664,0.3195964124450541,0.7889577461438352,0.6666666666666666,5.181666666666662,5.654851588374277,7.785866257247997
17,QB,qb_4pt,2023,model,37.0,0.4423456874941783,0.3237097740747043,0.5858196639292695,0.4166666666666667,7.001666666666668,6.192118383690887,8.33411038648169
17,QB,qb_4pt,2023,consensus,37.0,0.4555482611193071,0.3084404451089164,0.6590560478565209,0.4166666666666667,5.848333333333334,32.123243243243245,34.58333108867897
17,QB,qb_4pt,2023,prior_ppg,37.0,0.1102593310855346,0.0763466448289397,0.5488598015394668,0.3333333333333333,7.813333333333337,8.152910495131081,10.124024540405774
17,QB,qb_4pt,2024,model,33.0,0.7268776584123575,0.540961213044285,0.8353528144412699,0.75,1.520000000000001,4.308063513610064,5.456032846556504
17,QB,qb_4pt,2024,consensus,33.0,0.6052853763907782,0.4495311488677861,0.8266301459656398,0.5833333333333334,3.898333333333331,32.79515151515152,34.60907395467264
17,QB,qb_4pt,2024,prior_ppg,33.0,0.5161400031892626,0.3657202567059955,0.8014169140268097,0.5,4.396666666666666,6.325186117309113,7.482836656187673
17,QB,qb_4pt,2025,model,40.0,0.3007162951191833,0.2117065333369869,0.6611779820266989,0.5,9.22,8.94043840332939,11.181553212836697
17,QB,qb_4pt,2025,consensus,40.0,0.6052330718953459,0.4618828690960038,0.7986285472843945,0.5,6.991666666666663,36.122,37.94717275371118
17,QB,qb_4pt,2025,prior_ppg,40.0,0.2906210102727691,0.213979634270465,0.7025088406210674,0.5,9.338333333333326,7.644021198409433,9.46353422067127
17,QB,qb_6pt,2021,model,33.0,0.4926882276748797,0.3658769416127327,0.7486018402280975,0.5833333333333334,6.908333333333331,8.674750624152702,10.410709052062348
17,QB,qb_6pt,2021,consensus,33.0,0.4390406967781238,0.3165878199446962,0.7943431986038465,0.5833333333333334,7.011666666666666,39.25151515151515,41.22937861047703
17,QB,qb_6pt,2021,prior_ppg,33.0,0.0429514499702999,0.0322275026291008,0.6761279977288579,0.5,10.008333333333333,12.041229798820709,14.350274381685852
17,QB,qb_6pt,2022,model,35.0,0.5320445589196844,0.384162979267938,0.8316357761661411,0.5833333333333334,4.171666666666667,5.829807137493175,8.227368611020797
