season,week,player,team,pos,reason
2026,1,TreVeyon Henderson,NE,rb,Ruled out Sunday morning
2026,1,Brock Bowers,LV,te,"Meniscus trim on Tuesday, out several weeks"
2026,1,Darius Slayton,NYG,wr,"Taken off both boards by hand. No injury status; an editorial call, not a scratch."
